REGION,TECHNOLOGY,STORAGE,FUEL,EMISSION,SEASON,DAYTYPE,DAILYTIMEBRACKET,TIMESLICE,MODE_OF_OPERATION,YEAR,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,NewStorageCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,SalvageValueStorage,StorageLevelChronoDayStart,StorageLevelDayTypeFinish,StorageLevelYearStart,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
REGION1,BATTERY,,,,,101,,,,2034,,,,,,,,,,,,,,,,,,,,,,0.3480395495905728,,,,,,,
REGION1,BATTERY,,,,,101,,,,2035,,,,,,,,,,,,,,,,,,,,,,0.7786314636773592,,,,,,,
REGION1,BATTERY,,,,,101,,,,2036,,,,,,,,,,,,,,,,,,,,,,1.0060038924333694,,,,,,,
REGION1,BATTERY,,,,,101,,,,2037,,,,,,,,,,,,,,,,,,,,,,1.2394811652238844,,,,,,,
REGION1,BATTERY,,,,,101,,,,2038,,,,,,,,,,,,,,,,,,,,,,1.813214134541283,,,,,,,
REGION1,BATTERY,,,,,101,,,,2039,,,,,,,,,,,,,,,,,,,,,,2.717339054683903,,,,,,,
REGION1,BATTERY,,,,,101,,,,2040,,,,,,,,,,,,,,,,,,,,,,2.729363882456425,,,,,,,
REGION1,BATTERY,,,,,101,,,,2041,,,,,,,,,,,,,,,,,,,,,,11.26027536125606,,,,,,,
REGION1,BATTERY,,,,,101,,,,2042,,,,,,,,,,,,,,,,,,,,,,66.43462388670743,,,,,,,
REGION1,BATTERY,,,,,101,,,,2043,,,,,,,,,,,,,,,,,,,,,,111.96539012140872,,,,,,,
REGION1,BATTERY,,,,,101,,,,2044,,,,,,,,,,,,,,,,,,,,,,138.40536597207995,,,,,,,
REGION1,BATTERY,,,,,101,,,,2045,,,,,,,,,,,,,,,,,,,,,,144.86824802859536,,,,,,,
REGION1,BATTERY,,,,,101,,,,2046,,,,,,,,,,,,,,,,,,,,,,136.80385912109156,,,,,,,
REGION1,BATTERY,,,,,101,,,,2047,,,,,,,,,,,,,,,,,,,,,,119.00244645027232,,,,,,,
REGION1,BATTERY,,,,,101,,,,2048,,,,,,,,,,,,,,,,,,,,,,94.45427717062152,,,,,,,
REGION1,BATTERY,,,,,101,,,,2049,,,,,,,,,,,,,,,,,,,,,,63.274366689269456,,,,,,,
REGION1,BATTERY,,,,,101,,,,2050,,,,,,,,,,,,,,,,,,,,,,25.59309495776021,,,,,,,
REGION1,BATTERY,,,,,102,,,,2021,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2022,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2023,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2024,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2025,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2026,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2027,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2028,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2029,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2030,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2031,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2032,,,,,,,,,,,,,,,,,,,,,,0.2120044946664576,,,,,,,
REGION1,BATTERY,,,,,102,,,,2033,,,,,,,,,,,,,,,,,,,,,,0.0991898032037078,,,,,,,
