name,node_code,node_type,substation_type,owner,province,latitude,longitude,operating_region,sources,notes
Stelco Edmonton East 133S,AB_133S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.529609,-113.384168,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Taber Wind Farm 134S,AB_134S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.697439,-111.947181,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Conrad 135S,AB_135S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.524717,-111.967829,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Sedgewick 137S,AB_137S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.771079,-111.711994,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Windy Flats 138S,AB_138S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.641708,-113.491982,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Hillridge 139S,AB_139S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.69313,-112.329035,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Deerland 13S,AB_13S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.857352,-112.895054,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Thompson 140S,AB_140S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,54.774763,-111.834716,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Magcan 142S,AB_142S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.654656,-113.871584,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Macdonald 146S,AB_146S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.713208,-112.780012,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Nisku 149S,AB_149S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.308277,-113.51214,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Devon 14S,AB_14S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.354957,-113.718841,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Clyde 150S,AB_150S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,54.144286,-113.624893,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Strathmore 151S,AB_151S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,51.03269,-113.376704,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Black Spruce 154S,AB_154S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,55.56945,-110.855177,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Blackmud 155S,AB_155S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.354935,-113.511138,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Lac La Biche 157S,AB_157S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,54.733703,-111.979334,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Vauxhall 158S,AB_158S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.106923,-112.116642,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Colinton 159S,AB_159S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,54.618233,-113.309407,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Fort Macleod 15S,AB_15S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.728171,-113.391368,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Beddington 162S,AB_162S_DSS,DSS,Distribution Substation,ENMAX Power Corporation,AB,51.178852,-113.938255,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
AMOCO Empress 163S,AB_163S_ISS,ISS,Industrial Customer Substation,Altalink Management Ltd.,AB,50.678091,-110.026756,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Empress Liquids 164S,AB_164S_ISS,ISS,Industrial Customer Substation,Altalink Management Ltd.,AB,50.678761,-110.052951,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
T.M.P.L. Gainford 165S,AB_165S_ISS,ISS,Industrial Customer Substation,Altalink Management Ltd.,AB,53.581773,-114.742324,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Dow Chemical Fort Sask. 166S,AB_166S_ISS,ISS,Industrial Customer Substation,Altalink Management Ltd.,AB,53.731395,-113.173806,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Ipiatik 167S,AB_167S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,55.357078,-111.063301,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Pike 170S,AB_170S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,55.407268,-110.742939,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Redwater 171S,AB_171S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.935008,-113.075899,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Sherritt Gordon 172S,AB_172S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,53.722418,-113.19165,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
West Cascade 177S,AB_177S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,51.2002,-115.502053,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Cynthia 178S,AB_178S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.288634,-115.631569,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Gleichen 179S,AB_179S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.84858,-113.051025,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Benalto 17S,AB_17S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.259814,-114.290165,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Chinook 181S,AB_181S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,49.705184,-112.907882,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Underwood 183S,AB_183S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,55.383555,-110.746419,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Petro Canada Edmonton 184S,AB_184S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.554131,-113.346081,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Bretville 185S,AB_185S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.571246,-113.349658,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Dry Creek 186S,AB_186S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,51.245067,-114.014209,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
N.W. Cardiff 191S,AB_191S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.804699,-113.593782,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
South Red Deer 194S,AB_194S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.27033,-113.822093,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Bardo 197S,AB_197S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.279987,-112.755836,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Blackfalds 198S,AB_198S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.405629,-113.760537,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
East Airdrie 199S,AB_199S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,51.300901,-113.988631,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Wabamun 19S,AB_19S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.559907,-114.49341,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Wap 1S,AB_1S_DSS,DSS,Distribution Substation,Dapp Power Corporation,AB,54.414969,-114.176638,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Secord 2005S,AB_2005S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,57.395065,-111.624479,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Willow Lake 2009S,AB_2009S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.478712,-111.430076,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Dawes 2011S,AB_2011S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.297279,-111.715329,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Halfway 2014S,AB_2014S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.626738,-111.343627,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Yeo 2015S,AB_2015S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.758843,-112.151709,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Muir 2018S,AB_2018S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,54.387421,-116.971688,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Heathfield 2029S,AB_2029S_TSS,TSS,Terminal Substation,ATCO Electric Ltd.,AB,53.851711,-113.206855,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Sweetheart Lake 2032S,AB_2032S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.280317,-111.62661,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Mowat 2033S,AB_2033S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,55.752967,-118.984405,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Hurd 2037S,AB_2037S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,51.489155,-111.167095,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Kettle River 2049S,AB_2049S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,55.918499,-110.88304,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Sandy Point 204S,AB_204S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,50.681729,-110.032251,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Castle Rock Ridge 205S,AB_205S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,49.557522,-113.961163,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Engstrom 2060S,AB_2060S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.198542,-110.9449,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Newell 2075S,AB_2075S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,50.507276,-112.01456,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Pinedale 207S,AB_207S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.600128,-116.140023,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Meadow Creek 2081S,AB_2081S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.256988,-110.921094,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Dog Rib 2082S,AB_2082S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,56.924123,-111.470518,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Thornton 2091S,AB_2091S_DSS,DSS,Distribution Substation,ATCO Electric Ltd.,AB,54.473575,-118.747443,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Timberlands 209S,AB_209S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.289536,-113.753697,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Ghost 20S,AB_20S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,51.218519,-114.706634,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
N.E. Lacombe 212S,AB_212S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.499742,-113.627068,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Hughenden 213S,AB_213S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.494695,-110.939771,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Innisfail 214S,AB_214S_GSS,GSS,Generating Substation,Altalink Management Ltd.,AB,52.028537,-114.000697,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
Knightsbridge 216S,AB_216S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,53.542868,-113.356355,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
North Red Deer 217S,AB_217S_DSS,DSS,Distribution Substation,Altalink Management Ltd.,AB,52.317071,-113.801767,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",
