r,t,y,NewCapacity
"REGION1","DEMRESBIO",2036,16.1212121212121
"REGION1","DEMRESBIO",2037,16.1515151515152
"REGION1","DEMRESBIO",2038,16.1616161616162
"REGION1","DEMRESBIO",2039,16.1414141414141
"REGION1","DEMRESBIO",2040,16.1212121212121
"REGION1","DEMRESBIO",2041,16.0666666666667
"REGION1","DEMRESBIO",2042,16.1515151515151
"REGION1","DEMRESBIO",2043,16.2373737373737
"REGION1","DEMRESBIO",2044,16.3232323232323
"REGION1","DEMRESBIO",2045,16.4080808080808
"REGION1","DEMRESBIO",2046,16.4939393939394
"REGION1","DEMRESBIO",2047,16.5787878787879
"REGION1","DEMRESBIO",2048,16.6646464646465
"REGION1","DEMRESBIO",2049,16.750505050505
"REGION1","DEMRESBIO",2050,16.8353535353535
"REGION1","DEMRESNGS",2020,82.7878787878788
"REGION1","DEMRESNGS",2021,84.1313131313131
"REGION1","DEMRESNGS",2022,85.4040404040404
"REGION1","DEMRESNGS",2023,86.9393939393939
"REGION1","DEMRESNGS",2024,88.5353535353535
"REGION1","DEMRESNGS",2025,89.969696969697
"REGION1","DEMRESNGS",2026,91.2424242424242
"REGION1","DEMRESNGS",2027,92.3232323232323
"REGION1","DEMRESNGS",2028,93.4141414141414
"REGION1","DEMRESNGS",2029,94.3232323232323
"REGION1","DEMRESNGS",2030,95.020202020202
"REGION1","DEMRESNGS",2031,95.7575757575758
"REGION1","DEMRESNGS",2032,96.4747474747475
"REGION1","DEMRESNGS",2033,96.979797979798
"REGION1","DEMRESNGS",2034,97.5454545454545
"REGION1","DEMRESNGS",2035,97.9393939393939
"REGION1","DEMRESNGS",2036,98.1818181818182
"REGION1","DEMRESNGS",2037,98.3232323232323
"REGION1","DEMRESNGS",2038,98.3333333333333
"REGION1","DEMRESNGS",2039,98.2727272727273
"REGION1","DEMRESNGS",2040,98.1515151515152
"REGION1","DEMRESNGS",2041,100.510101010101
"REGION1","DEMRESNGS",2042,101.207070707071
"REGION1","DEMRESNGS",2043,101.90303030303
"REGION1","DEMRESNGS",2044,102.6
"REGION1","DEMRESNGS",2045,103.29595959596
"REGION1","DEMRESNGS",2046,103.991919191919
"REGION1","DEMRESNGS",2047,104.688888888889
"REGION1","DEMRESNGS",2048,105.384848484848
"REGION1","DEMRESNGS",2049,106.081818181818
"REGION1","DEMRESNGS",2050,106.777777777778
"REGION1","DEMRESELCB02",2020,107.567777777778
"REGION1","DEMRESELCB02",2021,109.965555555556
"REGION1","DEMRESELCB02",2022,112.247777777778
"REGION1","DEMRESELCB02",2023,114.775555555556
"REGION1","DEMRESELCB02",2024,117.101111111111
"REGION1","DEMRESELCB02",2025,119.426666666667
"REGION1","DEMRESELCB02",2026,121.622222222222
"REGION1","DEMRESELCB02",2027,123.586666666667
"REGION1","DEMRESELCB02",2028,125.045555555556
"REGION1","DEMRESELCB02",2029,126.388888888889
"REGION1","DEMRESELCB02",2030,127.732222222222
"REGION1","DEMRESELCB02",2031,128.858888888889
"REGION1","DEMRESELCB02",2032,130
"REGION1","DEMRESELCB02",2033,131.314444444444
"REGION1","DEMRESELCB02",2034,132.166666666667
"REGION1","DEMRESELCB02",2035,132.917777777778
"REGION1","DEMRESELCB02",2036,133.611111111111
"REGION1","DEMRESELCB02",2037,134.29
"REGION1","DEMRESELCB02",2038,135.041111111111
"REGION1","DEMRESELCB02",2039,135.748888888889
"REGION1","DEMRESELCB02",2040,136.384444444444
"REGION1","DEMRESELCB02",2041,137.642555555556
"REGION1","DEMRESELCB02",2042,138.491888888889
"REGION1","DEMRESELCB02",2043,139.339777777778
"REGION1","DEMRESELCB02",2044,140.187666666667
"REGION1","DEMRESELCB02",2045,141.037
"REGION1","DEMRESELCB02",2046,141.884888888889
"REGION1","DEMRESELCB02",2047,142.734222222222
"REGION1","DEMRESELCB02",2048,143.582111111111
"REGION1","DEMRESELCB02",2049,144.431444444444
"REGION1","DEMRESELCB02",2050,145.279333333333
"REGION1","DEMCOMKER",2020,10.6767676767677
"REGION1","DEMCOMKER",2021,10.9090909090909
"REGION1","DEMCOMKER",2022,11.1111111111111
"REGION1","DEMCOMKER",2023,11.2828282828283
"REGION1","DEMCOMKER",2024,11.4444444444444
"REGION1","DEMCOMKER",2025,11.5959595959596
"REGION1","DEMCOMKER",2026,11.7676767676768
"REGION1","DEMCOMKER",2027,11.9494949494949
"REGION1","DEMCOMKER",2028,12.1515151515151
"REGION1","DEMCOMKER",2029,12.3535353535354
"REGION1","DEMCOMKER",2030,12.5353535353535
"REGION1","DEMCOMKER",2031,12.6969696969697
"REGION1","DEMCOMKER",2032,12.8585858585859
"REGION1","DEMCOMKER",2033,13
"REGION1","DEMCOMKER",2034,13.1515151515151
"REGION1","DEMCOMKER",2035,13.2929292929293
"REGION1","DEMCOMKER",2036,13.4242424242424
"REGION1","DEMCOMKER",2037,13.5353535353535
"REGION1","DEMCOMKER",2038,13.6464646464646
"REGION1","DEMCOMKER",2039,13.7373737373737
"REGION1","DEMCOMKER",2040,13.8383838383838
"REGION1","DEMCOMKER",2041,14.3393939393939
"REGION1","DEMCOMKER",2042,14.5292929292929
"REGION1","DEMCOMKER",2043,14.720202020202
"REGION1","DEMCOMKER",2044,14.910101010101
"REGION1","DEMCOMKER",2045,15.1
"REGION1","DEMCOMKER",2046,15.289898989899
"REGION1","DEMCOMKER",2047,15.479797979798
"REGION1","DEMCOMKER",2048,15.669696969697
"REGION1","DEMCOMKER",2049,15.859595959596
"REGION1","DEMCOMKER",2050,16.0505050505051
"REGION1","DEMCOMBIO",2020,0.121212121212121
"REGION1","DEMCOMBIO",2021,0.171717171717172
"REGION1","DEMCOMBIO",2022,0.222222222222222
"REGION1","DEMCOMBIO",2023,0.262626262626263
"REGION1","DEMCOMBIO",2024,0.313131313131313
"REGION1","DEMCOMBIO",2025,0.353535353535353
