r,t,y,CapitalInvestment
"REGION1","DEMRESKER",2044,0
"REGION1","DEMRESKER",2045,0
"REGION1","DEMRESKER",2046,0
"REGION1","DEMRESKER",2047,0
"REGION1","DEMRESKER",2048,0
"REGION1","DEMRESKER",2049,0
"REGION1","DEMRESKER",2050,0
"REGION1","DEMRESBIO",2020,0.131111111111111
"REGION1","DEMRESBIO",2021,0.133636363636364
"REGION1","DEMRESBIO",2022,0.135858585858586
"REGION1","DEMRESBIO",2023,0.138585858585859
"REGION1","DEMRESBIO",2024,0.141414141414141
"REGION1","DEMRESBIO",2025,0.144040404040404
"REGION1","DEMRESBIO",2026,0.146565656565657
"REGION1","DEMRESBIO",2027,0.148686868686869
"REGION1","DEMRESBIO",2028,0.150909090909091
"REGION1","DEMRESBIO",2029,0.152929292929293
"REGION1","DEMRESBIO",2030,0.154444444444444
"REGION1","DEMRESBIO",2031,0.155959595959596
"REGION1","DEMRESBIO",2032,0.157474747474747
"REGION1","DEMRESBIO",2033,0.158585858585859
"REGION1","DEMRESBIO",2034,0.15979797979798
"REGION1","DEMRESBIO",2035,0.160707070707071
"REGION1","DEMRESBIO",2036,0.161212121212121
"REGION1","DEMRESBIO",2037,0.161515151515152
"REGION1","DEMRESBIO",2038,0.161616161616162
"REGION1","DEMRESBIO",2039,0.161414141414141
"REGION1","DEMRESBIO",2040,0.161212121212121
"REGION1","DEMRESBIO",2041,0.160666666666667
"REGION1","DEMRESBIO",2042,0.161515151515152
"REGION1","DEMRESBIO",2043,0.162373737373737
"REGION1","DEMRESBIO",2044,0.163232323232323
"REGION1","DEMRESBIO",2045,0.164080808080808
"REGION1","DEMRESBIO",2046,0.164939393939394
"REGION1","DEMRESBIO",2047,0.165787878787879
"REGION1","DEMRESBIO",2048,0.166646464646465
"REGION1","DEMRESBIO",2049,0.16750505050505
"REGION1","DEMRESBIO",2050,0.168353535353535
"REGION1","DEMRESNGS",2020,0.827878787878788
"REGION1","DEMRESNGS",2021,0.841313131313131
"REGION1","DEMRESNGS",2022,0.854040404040404
"REGION1","DEMRESNGS",2023,0.869393939393939
"REGION1","DEMRESNGS",2024,0.885353535353535
"REGION1","DEMRESNGS",2025,0.89969696969697
"REGION1","DEMRESNGS",2026,0.912424242424242
"REGION1","DEMRESNGS",2027,0.923232323232323
"REGION1","DEMRESNGS",2028,0.934141414141414
"REGION1","DEMRESNGS",2029,0.943232323232323
"REGION1","DEMRESNGS",2030,0.95020202020202
"REGION1","DEMRESNGS",2031,0.957575757575758
"REGION1","DEMRESNGS",2032,0.964747474747475
"REGION1","DEMRESNGS",2033,0.96979797979798
"REGION1","DEMRESNGS",2034,0.975454545454545
