r,l,f,y,Demand
"REGION1","SEA1D","INDNGS",2033,0
"REGION1","SEA1D","INDNGS",2034,0
"REGION1","SEA1D","INDNGS",2035,0
"REGION1","SEA1D","INDNGS",2036,0
"REGION1","SEA1D","INDNGS",2037,0
"REGION1","SEA1D","INDNGS",2038,0
"REGION1","SEA1D","INDNGS",2039,0
"REGION1","SEA1D","INDNGS",2040,0
"REGION1","SEA1D","INDNGS",2041,0
"REGION1","SEA1D","INDNGS",2042,0
"REGION1","SEA1D","INDNGS",2043,0
"REGION1","SEA1D","INDNGS",2044,0
"REGION1","SEA1D","INDNGS",2045,0
"REGION1","SEA1D","INDNGS",2046,0
"REGION1","SEA1D","INDNGS",2047,0
"REGION1","SEA1D","INDNGS",2048,0
"REGION1","SEA1D","INDNGS",2049,0
"REGION1","SEA1D","INDNGS",2050,0
"REGION1","SEA1D","NGS",2020,0
"REGION1","SEA1D","NGS",2021,0
"REGION1","SEA1D","NGS",2022,0
"REGION1","SEA1D","NGS",2023,0
"REGION1","SEA1D","NGS",2024,0
"REGION1","SEA1D","NGS",2025,0
"REGION1","SEA1D","NGS",2026,0
"REGION1","SEA1D","NGS",2027,0
"REGION1","SEA1D","NGS",2028,0
"REGION1","SEA1D","NGS",2029,0
"REGION1","SEA1D","NGS",2030,0
"REGION1","SEA1D","NGS",2031,0
"REGION1","SEA1D","NGS",2032,0
"REGION1","SEA1D","NGS",2033,0
"REGION1","SEA1D","NGS",2034,0
"REGION1","SEA1D","NGS",2035,0
"REGION1","SEA1D","NGS",2036,0
"REGION1","SEA1D","NGS",2037,0
"REGION1","SEA1D","NGS",2038,0
"REGION1","SEA1D","NGS",2039,0
"REGION1","SEA1D","NGS",2040,0
"REGION1","SEA1D","NGS",2041,0
"REGION1","SEA1D","NGS",2042,0
"REGION1","SEA1D","NGS",2043,0
"REGION1","SEA1D","NGS",2044,0
"REGION1","SEA1D","NGS",2045,0
"REGION1","SEA1D","NGS",2046,0
"REGION1","SEA1D","NGS",2047,0
"REGION1","SEA1D","NGS",2048,0
"REGION1","SEA1D","NGS",2049,0
"REGION1","SEA1D","NGS",2050,0
"REGION1","SEA1D","INDELCB02",2020,15.171
"REGION1","SEA1D","INDELCB02",2021,15.21
"REGION1","SEA1D","INDELCB02",2022,15.2655
"REGION1","SEA1D","INDELCB02",2023,15.3525
"REGION1","SEA1D","INDELCB02",2024,15.612
"REGION1","SEA1D","INDELCB02",2025,15.9285
"REGION1","SEA1D","INDELCB02",2026,16.4415
"REGION1","SEA1D","INDELCB02",2027,16.4355
"REGION1","SEA1D","INDELCB02",2028,16.3665
"REGION1","SEA1D","INDELCB02",2029,16.275
"REGION1","SEA1D","INDELCB02",2030,16.443
"REGION1","SEA1D","INDELCB02",2031,16.707
"REGION1","SEA1D","INDELCB02",2032,16.944
"REGION1","SEA1D","INDELCB02",2033,16.8615
"REGION1","SEA1D","INDELCB02",2034,16.6965
"REGION1","SEA1D","INDELCB02",2035,16.557
