id,source,year,name,link,publication,region,notes
421,Government of PEI,2019.0,Wind Energy in Prince Edward Island,https://www.princeedwardisland.ca/en/information/transportation-infrastructure-and-energy/wind-energy-prince-edward-island,,Prince Edward Island,
422,PEI Energy Corporation,2019.0,Proposed 2019 Windfarm,http://www.peiec.ca/2019-wind-farm.html,,Prince Edward Island,
423,Government of PEI,2016.0,Prince Edward Island Provincial Energy Strategy,https://www.princeedwardisland.ca/en/information/transportation-infrastructure-and-energy/energy-strategy,,Prince Edward Island,
424,NPCC,2016.0,2016 Maritimes Area Comprehensive Review of Resource Adequacy,https://www.npcc.org/Library/Resource%20Adequacy/2016%20Maritimes%20Area%20CRRA%20for%20RCCpaf.pdf,,Prince Edward Island,
425,Maritime Electric,2019.0,General Rate Application,https://www.maritimeelectric.com/about-us/regulatory/2019-general-rate-application/,,Prince Edward Island,
426,Dunsky Energy Consulting,2019.0,City of Summerside Capacity Resource Plan,https://summerside.ca/residents/electricity/energy_capacity_resource_planning,,Prince Edward Island,
427,Maritime Electric,2019.0,Response to Interrogatories from Commission Staff,http://www.irac.pe.ca/electric/,,Prince Edward Island,
428,PEI Energy Commission,2012.0,Charting Our Electric Future Final Report.  Appendix D: Maritime Electric Energy Supply System Map,http://www.gov.pe.ca/photos/original/NRGCommish_13.pdf,,Prince Edward Island,
429,MECL,2013.0,Environmental Impact Statement (EIS): Proposed West St. Peters Substation and Transmission Line Project,https://www.princeedwardisland.ca/en/information/environment-water-and-climate-change/projects-under-environmental-review-undertakings,,Prince Edward Island,
430,MECL,2013.0,Environmental Impact Statement (EIS): Transmission Line Y-104 Church Road Substation to West Royalty Substation,https://www.princeedwardisland.ca/en/information/environment-water-and-climate-change/projects-under-environmental-review-undertakings,,Prince Edward Island,
431,MECL,2016.0,Environmental Impact Statement (EIS): Proposed New Glasgow Substation and Transmission Line Project,https://www.princeedwardisland.ca/en/information/environment-water-and-climate-change/projects-under-environmental-review-undertakings,,Prince Edward Island,
432,https://public.tableau.com/app/profile/market.analytics/viz/AnnualStatistics_16161854228350/Introduction,,,,,,
433,http://reports.ieso.ca/public/IntertieScheduleFlowYear/,,,,,,
434,Provided by Saskpower,,,,,,
435,NB Power,2021.0,NB Power System Information Archive,https://tso.nbpower.com/Public/en/system_information_archive.aspx,,New Brunswick,
436,NB Power,2017.0,NB Power 2018/2019 General Rate Application [EUB Matter 0375],https://nbeub.ca/all-current-matters-decisions,,New Brunswick,
437,NB Power,2020.0,Annual Report [2011 through 2020],https://www.nbpower.com/en/about-us/accountability-reports/annual-and-quarterly-reports/,,New Brunswick,
438,NB Power,2020.0,NB Power 2020 Integrated Resource Plan,https://www.nbpower.com/en/about-us/accountability-reports/strategic-plans/,,New Brunswick,
439,Newfoundland and Labrador Hydro,2019.0,Reliability and Resource Adequacy Study,http://www.pub.nf.ca/applications/NLH2018ReliabilityAdequacy/index.php,,Newfoundland and Labrador,
440,Nova Scotia Power Inc.,2020.0,2020 ACE NSPI Responses to NSUARB Information Requests,https://uarb.novascotia.ca/fmi/webd/UARB15 [Search M09499],,Nova Scotia,
