,project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
0,Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
63,Pine Falls,MB_PNF_GSS,MB,Hydro_daily,84,0.981,82.404,0.8697542944118286,640,6.0,,,,,,,,,,,,,,05PF069,Lake Winnipeg (South),05SA003,Pine Falls,,,,,,,,,,,,,,,,,,,,,,,,05SA003 not directly below Pine Falls GS
64,Pointe du Bois,MB_PDB_GSS,MB,Hydro_daily,33,0.981,32.373,0.8060052580600526,233,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Seven Sisters,MB_SVS_GSS,MB,Hydro_daily,165,0.981,161.865,0.7022277570222776,1015,6.0,,,,,,,,,,,,,,,McArthur Falls,,Seven Sisters,05PF057,,,,,,,,,,,,,,,,,,,,,,,
66,Slave Falls,MB_SLF_GSS,MB,Hydro_daily,68,0.981,66.708,0.8729519204942251,520,8.0,,,,,,,,,,,,,,05PF063,Seven Sisters,05PF057,Slave Falls,,,,,,,,,,,,,,,,,,,,,,,,05PF057 not directly below Slave Falls GS
67,Wuskwatim,MB_WSK_GSS,MB,Hydro_daily,211,0.981,206.99099999999999,0.8115302213854444,1500,3.0,,,,,,,,,,,,,,,,,Wuskwatim Lake,05TF006,,,,,,,,,,,,,,,,,,,,,,,
68,Jenpeg,MB_JPG_GSS,MB,Hydro_monthly,114,0.981,111.834,0.9262597132099656,925,6.0,,,,,,,,,,,,,,05UB009,Cross Lake,05UD001,Lake Winnipeg (North),05RF001,,,,,,,,,,,,,,,,,,,,,,,
69,Kelsey,MB_KLS_GSS,MB,Hydro_monthly,287,0.981,281.54699999999997,0.7199338138195472,1810,7.0,,,,,,,,,,,,,,05UE005,Split Lake,05UF003,Kelsey,,,,,,,,,,,,,,,,,,,,,,,,
70,Kettle,MB_RDS_CSS,MB,Hydro_monthly,1224,0.981,1200.744,0.6649729907183574,7130,12.0,,,,,,,,,,,,,,05UF006,Long Spruce,,Stephens Lake,,,,,,,,,,,,,,,,,,,,,,,,
71,Limestone,MB_LMS_GSS,MB,Hydro_monthly,1350,0.981,1324.35,0.6451885675629968,7630,10.0,,,,,,,,,,,,,,,Hudson Bay,,Limestone,,,,,,,,,,,,,,,,,,,,,,,,
72,Long Spruce,MB_LSP_GSS,MB,Hydro_monthly,980,0.981,961.38,0.7082284968782033,6080,10.0,,,,,,,,,,,,,,05UF007,Limestone,,Long Spruce,,,,,,,,,,,,,,,,,,,,,,,,
