,generation_unit_name,generation_unit_code,generation_facility_name,generation_facility_code,owner,province,location,latitude,longitude,elevation,copper_balancing_area,operating_region,connecting_node_name,connecting_node_code,connecting_voltage,start_year,previous_renewal_year,possible_renewal_year,closure_year,gen_type,gen_type_copper,unit_installed_capacity,facility_installed_capacity,capacity_adjustment,unit_effective_capacity,facility_effective_capacity,capacity_factor,unit_average_annual_energy,facility_average_annual_energy,generation_units_represented,total_facility_generation_units,notes
143,McLaughlin,AB_MGL01_GEN,McLaughlin,AB_MGL_GEN,Renewable Energy Systems Canada Inc.,AB,Pincher Creek,49.481067,-113.834757,1141,Alberta.a,Alberta,McLaughlin 423S,AB_423S_GSS,138,2023,2023,2053,,wind_ons,wind_ons,46.20,46.20,0.1600,7.39,7.39,0.3600,145.70,145.70,11,11,NULL
144,Muskeg,AB_MKR01_GEN,Muskeg,AB_MKR_GEN,Shell Canada Energy,AB,Fort McMurray,57.253700,-111.506400,274,Alberta.a,Alberta,Muskeg River 847S,AB_847S_GSS,240,2001,2001,2031,,NG_CG,NG_CC,85.00,85.00,0.9000,76.50,76.50,0.3000,223.38,223.38,2,2,NULL
145,MacKay Gas,AB_MKRC00_GEN,MacKay Gas,AB_MKRC_GEN,TransCanada Energy Ltd.,AB,Fort McMurray,57.041300,-111.905500,414,Alberta.a,Alberta,Mackay River 874S,AB_874S_GSS,240,2004,2004,2034,,NG_CG,NG_CC,207.00,207.00,0.9000,186.30,186.30,0.3000,544.00,544.00,1,1,NULL
146,Monarch I,AB_MON01_GEN,Monarch I,AB_MON_GEN,Concord Monarch Partnership,AB,Monarch,49.830196,-112.980842,936,Alberta.a,Alberta,Monarch 492S,AB_492S_DSS,144,2022,2022,2052,,solar_PV,solar,24.00,24.00,0.1000,2.40,2.40,0.1800,37.84,37.84,1,1,NULL
147,Mulligan,AB_MUL01_GEN,Mulligan,AB_MUL_GEN,Tourmaline,AB,Spirit River,55.669321,-118.917821,786,Alberta.a,Alberta,Saddle Hills 865S,AB_865S_GSS,144,2017,2017,2047,,NG_CG,NG_CC,5.00,5.00,0.9000,4.50,4.50,0.3000,13.14,13.14,1,1,NULL
148,Ralston,AB_NAT01_GEN,Ralston,AB_NAT_GEN,NAT-1 Limited Partnership,AB,Ralston,50.219401,-111.159651,745,Alberta.a,Alberta,Suffield 895S,AB_895S_GSS,138,2015,2015,2045,,NG_SC,NG_SC,20.00,20.00,1.0000,20.00,20.00,0.3000,52.56,52.56,1,1,NULL
149,Ghost Pine,AB_NEP01_GEN,Ghost Pine,AB_NEP_GEN,Finavera,AB,Three Hills,51.872348,-113.318052,915,Alberta.a,Alberta,Ghost Pine 114S,AB_114S_DSS,138,2010,2010,2040,,wind_ons,wind_ons,81.60,81.60,0.1600,13.06,13.06,0.3600,257.33,257.33,51,51,NULL
150,East Strathmore,AB_NMK01_GEN,East Strathmore,AB_NMK_GEN,Elemental Energy,AB,Strathmore,51.024129,-113.149094,906,Alberta.a,Alberta,Namaka 428S,AB_428S_DSS,144,2022,2022,2052,,solar_PV,solar,26.00,26.00,0.1000,2.60,2.60,0.1800,41.00,41.00,1,1,NULL
151,Denis St Pierre,AB_NPC01_GEN,Denis St Pierre,AB_NPC_GEN,Northstone Power Corp.,AB,Elmworth,55.050243,-119.617010,725,Alberta.a,Alberta,Elmworth 731S,AB_731S_DSS,144,2001,2001,2031,,NG_SC,NG_SC,3.00,3.00,1.0000,3.00,3.00,0.3000,7.88,7.88,1,1,NULL
152,JL Landry,AB_NPC02_GEN,JL Landry,AB_NPC_GEN,Northstone Power Corp.,AB,Elmworth,55.050095,-119.615980,726,Alberta.a,Alberta,Elmworth 731S,AB_731S_DSS,144,2001,2001,2031,,NG_SC,NG_SC,9.00,9.00,1.0000,9.00,9.00,0.3000,23.65,23.65,1,1,NULL
