,scenario,variable,year,value,region
541,Global Net-zero,Consumer Price Index (2002=100),2040,230.90000,Canada
542,Global Net-zero,Consumer Price Index (2002=100),2041,235.60000,Canada
543,Global Net-zero,Consumer Price Index (2002=100),2042,240.20000,Canada
544,Global Net-zero,Consumer Price Index (2002=100),2043,244.80000,Canada
545,Global Net-zero,Consumer Price Index (2002=100),2044,249.30000,Canada
546,Global Net-zero,Consumer Price Index (2002=100),2045,253.70000,Canada
547,Global Net-zero,Consumer Price Index (2002=100),2046,258.20000,Canada
548,Global Net-zero,Consumer Price Index (2002=100),2047,262.80000,Canada
549,Global Net-zero,Consumer Price Index (2002=100),2048,267.40000,Canada
550,Global Net-zero,Consumer Price Index (2002=100),2049,272.20000,Canada
551,Global Net-zero,Consumer Price Index (2002=100),2050,277.20000,Canada
552,Global Net-zero,Gross Domestic Product Deflator (2012=100),2005,86.50000,Canada
553,Global Net-zero,Gross Domestic Product Deflator (2012=100),2006,88.70000,Canada
554,Global Net-zero,Gross Domestic Product Deflator (2012=100),2007,91.60000,Canada
555,Global Net-zero,Gross Domestic Product Deflator (2012=100),2008,95.30000,Canada
556,Global Net-zero,Gross Domestic Product Deflator (2012=100),2009,93.10000,Canada
557,Global Net-zero,Gross Domestic Product Deflator (2012=100),2010,95.70000,Canada
558,Global Net-zero,Gross Domestic Product Deflator (2012=100),2011,98.80000,Canada
559,Global Net-zero,Gross Domestic Product Deflator (2012=100),2012,100.00000,Canada
560,Global Net-zero,Gross Domestic Product Deflator (2012=100),2013,101.70000,Canada
561,Global Net-zero,Gross Domestic Product Deflator (2012=100),2014,103.70000,Canada
562,Global Net-zero,Gross Domestic Product Deflator (2012=100),2015,102.80000,Canada
563,Global Net-zero,Gross Domestic Product Deflator (2012=100),2016,103.60000,Canada
564,Global Net-zero,Gross Domestic Product Deflator (2012=100),2017,106.20000,Canada
565,Global Net-zero,Gross Domestic Product Deflator (2012=100),2018,108.00000,Canada
566,Global Net-zero,Gross Domestic Product Deflator (2012=100),2019,109.60000,Canada
567,Global Net-zero,Gross Domestic Product Deflator (2012=100),2020,110.30000,Canada
568,Global Net-zero,Gross Domestic Product Deflator (2012=100),2021,119.30000,Canada
569,Global Net-zero,Gross Domestic Product Deflator (2012=100),2022,128.40000,Canada
570,Global Net-zero,Gross Domestic Product Deflator (2012=100),2023,130.60000,Canada
571,Global Net-zero,Gross Domestic Product Deflator (2012=100),2024,134.30000,Canada
572,Global Net-zero,Gross Domestic Product Deflator (2012=100),2025,137.40000,Canada
573,Global Net-zero,Gross Domestic Product Deflator (2012=100),2026,139.60000,Canada
574,Global Net-zero,Gross Domestic Product Deflator (2012=100),2027,141.50000,Canada
575,Global Net-zero,Gross Domestic Product Deflator (2012=100),2028,143.30000,Canada
576,Global Net-zero,Gross Domestic Product Deflator (2012=100),2029,145.00000,Canada
577,Global Net-zero,Gross Domestic Product Deflator (2012=100),2030,146.80000,Canada
578,Global Net-zero,Gross Domestic Product Deflator (2012=100),2031,150.20000,Canada
579,Global Net-zero,Gross Domestic Product Deflator (2012=100),2032,154.00000,Canada
580,Global Net-zero,Gross Domestic Product Deflator (2012=100),2033,158.10000,Canada
581,Global Net-zero,Gross Domestic Product Deflator (2012=100),2034,162.30000,Canada
582,Global Net-zero,Gross Domestic Product Deflator (2012=100),2035,166.60000,Canada
583,Global Net-zero,Gross Domestic Product Deflator (2012=100),2036,170.70000,Canada
584,Global Net-zero,Gross Domestic Product Deflator (2012=100),2037,174.80000,Canada
585,Global Net-zero,Gross Domestic Product Deflator (2012=100),2038,178.80000,Canada
586,Global Net-zero,Gross Domestic Product Deflator (2012=100),2039,182.70000,Canada
587,Global Net-zero,Gross Domestic Product Deflator (2012=100),2040,186.30000,Canada
588,Global Net-zero,Gross Domestic Product Deflator (2012=100),2041,189.90000,Canada
589,Global Net-zero,Gross Domestic Product Deflator (2012=100),2042,193.30000,Canada
590,Global Net-zero,Gross Domestic Product Deflator (2012=100),2043,196.70000,Canada
591,Global Net-zero,Gross Domestic Product Deflator (2012=100),2044,200.00000,Canada
592,Global Net-zero,Gross Domestic Product Deflator (2012=100),2045,203.30000,Canada
593,Global Net-zero,Gross Domestic Product Deflator (2012=100),2046,206.50000,Canada
594,Global Net-zero,Gross Domestic Product Deflator (2012=100),2047,209.90000,Canada
595,Global Net-zero,Gross Domestic Product Deflator (2012=100),2048,213.40000,Canada
596,Global Net-zero,Gross Domestic Product Deflator (2012=100),2049,217.20000,Canada
597,Global Net-zero,Gross Domestic Product Deflator (2012=100),2050,221.10000,Canada
598,Global Net-zero,Population (thousands),2005,32243.80000,Canada
599,Global Net-zero,Population (thousands),2006,32571.20000,Canada
600,Global Net-zero,Population (thousands),2007,32889.00000,Canada
601,Global Net-zero,Population (thousands),2008,33247.10000,Canada
602,Global Net-zero,Population (thousands),2009,33628.90000,Canada
603,Global Net-zero,Population (thousands),2010,34004.90000,Canada
604,Global Net-zero,Population (thousands),2011,34339.30000,Canada
605,Global Net-zero,Population (thousands),2012,34714.20000,Canada
606,Global Net-zero,Population (thousands),2013,35083.00000,Canada
607,Global Net-zero,Population (thousands),2014,35437.40000,Canada
608,Global Net-zero,Population (thousands),2015,35702.90000,Canada
609,Global Net-zero,Population (thousands),2016,36109.50000,Canada
610,Global Net-zero,Population (thousands),2017,36545.20000,Canada
611,Global Net-zero,Population (thousands),2018,37065.10000,Canada
612,Global Net-zero,Population (thousands),2019,37601.20000,Canada
613,Global Net-zero,Population (thousands),2020,38007.20000,Canada
614,Global Net-zero,Population (thousands),2021,38226.50000,Canada
615,Global Net-zero,Population (thousands),2022,38929.90000,Canada
616,Global Net-zero,Population (thousands),2023,39695.70000,Canada
617,Global Net-zero,Population (thousands),2024,40312.80000,Canada
618,Global Net-zero,Population (thousands),2025,40908.60000,Canada
619,Global Net-zero,Population (thousands),2026,41439.00000,Canada
620,Global Net-zero,Population (thousands),2027,41942.80000,Canada
621,Global Net-zero,Population (thousands),2028,42428.10000,Canada
622,Global Net-zero,Population (thousands),2029,42895.10000,Canada
623,Global Net-zero,Population (thousands),2030,43337.80000,Canada
624,Global Net-zero,Population (thousands),2031,43766.50000,Canada
625,Global Net-zero,Population (thousands),2032,44192.50000,Canada
626,Global Net-zero,Population (thousands),2033,44600.20000,Canada
627,Global Net-zero,Population (thousands),2034,44991.20000,Canada
628,Global Net-zero,Population (thousands),2035,45357.40000,Canada
629,Global Net-zero,Population (thousands),2036,45706.60000,Canada
630,Global Net-zero,Population (thousands),2037,46040.50000,Canada
631,Global Net-zero,Population (thousands),2038,46358.30000,Canada
632,Global Net-zero,Population (thousands),2039,46660.50000,Canada
633,Global Net-zero,Population (thousands),2040,46948.30000,Canada
634,Global Net-zero,Population (thousands),2041,47223.10000,Canada
635,Global Net-zero,Population (thousands),2042,47486.50000,Canada
636,Global Net-zero,Population (thousands),2043,47740.00000,Canada
637,Global Net-zero,Population (thousands),2044,47985.10000,Canada
638,Global Net-zero,Population (thousands),2045,48224.10000,Canada
639,Global Net-zero,Population (thousands),2046,48459.30000,Canada
640,Global Net-zero,Population (thousands),2047,48693.00000,Canada
641,Global Net-zero,Population (thousands),2048,48926.30000,Canada
642,Global Net-zero,Population (thousands),2049,49160.90000,Canada
643,Global Net-zero,Population (thousands),2050,49399.00000,Canada
644,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2005,1643973.00000,Canada
645,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2006,1687280.00000,Canada
646,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2007,1722238.00000,Canada
647,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2008,1739534.00000,Canada
648,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2009,1688636.00000,Canada
649,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2010,1740814.00000,Canada
650,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2011,1795582.00000,Canada
651,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2012,1827201.00000,Canada
652,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2013,1869759.00000,Canada
653,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2014,1923422.00000,Canada
654,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2015,1936100.00000,Canada
655,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2016,1955488.00000,Canada
656,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2017,2014933.00000,Canada
657,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2018,2070888.00000,Canada
658,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2019,2109991.00000,Canada
659,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2020,2002923.00000,Canada
660,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2021,2103305.00000,Canada
661,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2022,2181795.00000,Canada
662,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2023,2201184.00000,Canada
663,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2024,2236652.00000,Canada
664,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2025,2282040.00000,Canada
665,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2026,2336321.00000,Canada
666,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2027,2388232.00000,Canada
667,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2028,2432839.00000,Canada
668,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2029,2480070.00000,Canada
669,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2030,2521535.00000,Canada
670,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2031,2565186.00000,Canada
671,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2032,2609070.00000,Canada
672,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2033,2646719.00000,Canada
673,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2034,2674232.00000,Canada
674,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2035,2700846.00000,Canada
675,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2036,2721662.00000,Canada
676,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2037,2745042.00000,Canada
677,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2038,2764096.00000,Canada
678,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2039,2784584.00000,Canada
679,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2040,2806531.00000,Canada
680,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2041,2828822.00000,Canada
681,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2042,2850952.00000,Canada
682,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2043,2875186.00000,Canada
683,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2044,2902240.00000,Canada
684,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2045,2925691.00000,Canada
685,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2046,2950710.00000,Canada
686,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2047,2982741.00000,Canada
687,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2048,3017518.00000,Canada
688,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2049,3059316.00000,Canada
689,Global Net-zero,Real Gross Domestic Product ($2012 Millions),2050,3104629.00000,Canada
