project_name,connecting_node_code,Province,generation_type,installed_capacity,capacity_adjustment,effective_capacity,capacity_factor,annual_avg_energy,num_of_units,avg_unit_capacity,renewal_year,dam_type,penstock,rated_head,maximum_head,minimum_head,average_flow,rated_discharge_unit,rated_discharge_facility,upstream_reservoir_area,upstream_reservoir_storage,turbine_type,station_flow,lower_storage_name,lower_storage_level,upper_storage_name,upper_storage_level,max_live_storage,minimum_level,maximum_level,initial_level,low_ref_level,high_ref_level,low_volume,high_volume,live_storage,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,other_references,Notes
Units,,,,(MW),(%),(MW),(%),(GWh/year),,,,,(m),(m),(m),(m),(m3/s),(m3/s),(m3/s),(km2),(hours),,(WSC#),,(WSC#),,(WSC#),,(m),(m),(m),(m),(m),(m3),(m3),(m3),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),(m3/s),,
Raging River,BC_JUL_DSS,BC,Hydro_daily,8,1,8,0.56734087,39.75924816,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revelstoke,BC_REV_GSS,BC,Hydro_monthly,2500,1,2500,0.401819716,8799.85178,5,,,,,,,,,,,,,,08ND025,Arrow,,Revelstoke,,,554.54,573.02,572.716,,,,,1850220000,47,44,48,125,454,700,554,339,200,143,100,66,,
Ruskin,BC_RUS_GSS,BC,Hydro_daily,115,1,115,0.331130026,333.5803878,3,,,,,,,,,,,,,,,,,Hayward,08MH167,,41.1,42.8,42.46,,,,,"""daily pondage""",0,0,0,0,0,0,0,0,0,0,0,0,,"total storage: 42,000,000m^3                          http://www.llbc.leg.bc.ca/public/pubdocs/bcdocs/400454/environment30835.pdf "
Seton,BC_SON_DFS,BC,Hydro_daily,48,1,48,0.331158838,139.2456684,1,,,,,,,,,,,,,,08ME003,,,Seton (+ Carpenter),,,235.76,236.36,236.24,,,,,14800000,8,7,7,8,20,47,41,24,15,12,11,9,,
Seven Mile,BC_SEV_GSS,BC,Hydro_daily,805,1,805,0.331158812,2335.265709,4,,,,,,,,,,,,,,,Waneta,,Seven Mile,,,514.8,527.3,524.8,,,,,45960000,484,497,616,892,1303,1438,707,367,425,615,611,522,,80% of total storage
Shuswap,BC_ACK_DSS,BC,Hydro_daily,6,1,6,0.331240487,17.41,1,,,,,,,,,,,,,,,,,Shuswap Lake,,,,,,,,,,133700000,,,,,,,,,,,,,,
Site C,BC_STC_GSS,BC,Hydro_monthly,1132,1,1132,0.54096904,5364.422108,6,,,,,,,,,,,,,,07FA004,,,Site C,,,460.011,461.8,461.4418915,,,,,165000000,13.92,12.1,12.51,34.74,169,311.7,199.1,94.03,64.18,45.06,25.22,17.97,,07FA004 Flow is prior to Site C generation
South Slocan,BC_SLC_GSS,BC,Hydro_daily,57,1,57,0.331158812,165.354218,3,,,,,,,,,,,,,,,Brilliant,,South Slocan,,,,,,,,,,,,,,,,,,,,,,,,
Stave Falls,BC_SFL_GSS,BC,Hydro_daily,91,1,91,0.331158795,263.9865447,2,,2000,,,,,,,,,,,,,Hayward,08MH167,Stave Lake,,,73,82.08,80.264,,,,,470000000,50.77,43.69,45.23,67.08,163.57,251.47,193.34,119.15,76.02,75.2,72.63,53.87,,
Strathcona,BC_SCA_GSS,BC,Hydro_daily,65,1,65,0.331158788,188.5618139,2,,,,,,,,,,,,,,,Lower Campbell Lake,,Upper Campbell Lake,08HD031,,210,221,219.6,,,,,8.8E+11,86,68,63,67,106,114,72,36,32,80,116,89,,
