,scenario,variable,year,value,region,sector
25868,Current Measures,Biofuels,2012,12.01190,British Columbia,"Transportation"
25881,Current Measures,Biofuels,2013,14.01920,British Columbia,"Transportation"
25895,Current Measures,Biofuels,2014,15.30550,British Columbia,"Transportation"
25911,Current Measures,Biofuels,2015,16.95640,British Columbia,"Transportation"
25924,Current Measures,Biofuels,2016,17.58430,British Columbia,"Transportation"
25939,Current Measures,Biofuels,2017,18.40190,British Columbia,"Transportation"
25953,Current Measures,Biofuels,2018,19.67000,British Columbia,"Transportation"
25967,Current Measures,Biofuels,2019,21.33750,British Columbia,"Transportation"
25981,Current Measures,Biofuels,2020,20.01770,British Columbia,"Transportation"
25995,Current Measures,Biofuels,2021,30.52430,British Columbia,"Transportation"
26009,Current Measures,Biofuels,2022,34.10100,British Columbia,"Transportation"
26023,Current Measures,Biofuels,2023,35.88550,British Columbia,"Transportation"
26037,Current Measures,Biofuels,2024,39.71400,British Columbia,"Transportation"
26051,Current Measures,Biofuels,2025,41.70120,British Columbia,"Transportation"
26065,Current Measures,Biofuels,2026,44.98320,British Columbia,"Transportation"
26079,Current Measures,Biofuels,2027,48.02240,British Columbia,"Transportation"
26093,Current Measures,Biofuels,2028,50.10560,British Columbia,"Transportation"
26107,Current Measures,Biofuels,2029,50.51380,British Columbia,"Transportation"
26121,Current Measures,Biofuels,2030,52.75150,British Columbia,"Transportation"
26135,Current Measures,Biofuels,2031,52.80680,British Columbia,"Transportation"
26149,Current Measures,Biofuels,2032,52.73250,British Columbia,"Transportation"
26163,Current Measures,Biofuels,2033,52.70530,British Columbia,"Transportation"
26177,Current Measures,Biofuels,2034,52.83870,British Columbia,"Transportation"
26191,Current Measures,Biofuels,2035,52.93070,British Columbia,"Transportation"
26205,Current Measures,Biofuels,2036,52.95970,British Columbia,"Transportation"
26219,Current Measures,Biofuels,2037,52.97880,British Columbia,"Transportation"
26233,Current Measures,Biofuels,2038,52.94740,British Columbia,"Transportation"
26247,Current Measures,Biofuels,2039,52.93400,British Columbia,"Transportation"
26261,Current Measures,Biofuels,2040,52.99110,British Columbia,"Transportation"
26275,Current Measures,Biofuels,2041,53.09410,British Columbia,"Transportation"
26289,Current Measures,Biofuels,2042,53.25460,British Columbia,"Transportation"
26303,Current Measures,Biofuels,2043,53.49330,British Columbia,"Transportation"
26317,Current Measures,Biofuels,2044,53.82470,British Columbia,"Transportation"
26331,Current Measures,Biofuels,2045,54.26330,British Columbia,"Transportation"
26345,Current Measures,Biofuels,2046,54.80210,British Columbia,"Transportation"
26359,Current Measures,Biofuels,2047,55.42430,British Columbia,"Transportation"
26373,Current Measures,Biofuels,2048,56.11500,British Columbia,"Transportation"
26387,Current Measures,Biofuels,2049,56.87770,British Columbia,"Transportation"
26401,Current Measures,Biofuels,2050,57.68820,British Columbia,"Transportation"
26405,Current Measures,Biofuels & Emerging Energy,2005,0.00000,British Columbia,"Commercial"
26442,Current Measures,Biofuels & Emerging Energy,2005,15.00000,British Columbia,"Residential"
26456,Current Measures,Biofuels & Emerging Energy,2005,213.98490,British Columbia,"Industrial"
26457,Current Measures,Biofuels & Emerging Energy,2005,229.06530,British Columbia,"Total End-Use"
26461,Current Measures,Biofuels & Emerging Energy,2006,0.00000,British Columbia,"Commercial"
26498,Current Measures,Biofuels & Emerging Energy,2006,13.79990,British Columbia,"Residential"
26512,Current Measures,Biofuels & Emerging Energy,2006,208.43990,British Columbia,"Industrial"
26513,Current Measures,Biofuels & Emerging Energy,2006,222.75070,British Columbia,"Total End-Use"
26517,Current Measures,Biofuels & Emerging Energy,2007,0.00000,British Columbia,"Commercial"
26554,Current Measures,Biofuels & Emerging Energy,2007,14.40000,British Columbia,"Residential"
26568,Current Measures,Biofuels & Emerging Energy,2007,196.94820,British Columbia,"Industrial"
26569,Current Measures,Biofuels & Emerging Energy,2007,212.06600,British Columbia,"Total End-Use"
26586,Current Measures,Biofuels & Emerging Energy,2008,0.00070,British Columbia,"Commercial"
26609,Current Measures,Biofuels & Emerging Energy,2008,14.70000,British Columbia,"Residential"
26622,Current Measures,Biofuels & Emerging Energy,2008,154.63290,British Columbia,"Industrial"
26625,Current Measures,Biofuels & Emerging Energy,2008,170.66390,British Columbia,"Total End-Use"
26642,Current Measures,Biofuels & Emerging Energy,2009,0.00090,British Columbia,"Commercial"
26665,Current Measures,Biofuels & Emerging Energy,2009,13.80000,British Columbia,"Residential"
26680,Current Measures,Biofuels & Emerging Energy,2009,168.69560,British Columbia,"Industrial"
26681,Current Measures,Biofuels & Emerging Energy,2009,184.26730,British Columbia,"Total End-Use"
26697,Current Measures,Biofuels & Emerging Energy,2010,0.00080,British Columbia,"Commercial"
26721,Current Measures,Biofuels & Emerging Energy,2010,13.30000,British Columbia,"Residential"
26736,Current Measures,Biofuels & Emerging Energy,2010,182.09170,British Columbia,"Industrial"
26737,Current Measures,Biofuels & Emerging Energy,2010,204.59510,British Columbia,"Total End-Use"
26753,Current Measures,Biofuels & Emerging Energy,2011,0.00090,British Columbia,"Commercial"
26778,Current Measures,Biofuels & Emerging Energy,2011,13.10000,British Columbia,"Residential"
26792,Current Measures,Biofuels & Emerging Energy,2011,177.48600,British Columbia,"Industrial"
26793,Current Measures,Biofuels & Emerging Energy,2011,202.18060,British Columbia,"Total End-Use"
26810,Current Measures,Biofuels & Emerging Energy,2012,0.00100,British Columbia,"Commercial"
26833,Current Measures,Biofuels & Emerging Energy,2012,13.00000,British Columbia,"Residential"
26848,Current Measures,Biofuels & Emerging Energy,2012,187.45860,British Columbia,"Industrial"
26849,Current Measures,Biofuels & Emerging Energy,2012,212.47150,British Columbia,"Total End-Use"
26866,Current Measures,Biofuels & Emerging Energy,2013,0.00170,British Columbia,"Commercial"
26889,Current Measures,Biofuels & Emerging Energy,2013,12.80000,British Columbia,"Residential"
26904,Current Measures,Biofuels & Emerging Energy,2013,180.53260,British Columbia,"Industrial"
26905,Current Measures,Biofuels & Emerging Energy,2013,207.35350,British Columbia,"Total End-Use"
26923,Current Measures,Biofuels & Emerging Energy,2014,0.00260,British Columbia,"Commercial"
26945,Current Measures,Biofuels & Emerging Energy,2014,12.70000,British Columbia,"Residential"
26959,Current Measures,Biofuels & Emerging Energy,2014,172.10250,British Columbia,"Industrial"
26961,Current Measures,Biofuels & Emerging Energy,2014,200.11060,British Columbia,"Total End-Use"
26981,Current Measures,Biofuels & Emerging Energy,2015,0.00250,British Columbia,"Commercial"
27001,Current Measures,Biofuels & Emerging Energy,2015,12.49990,British Columbia,"Residential"
27016,Current Measures,Biofuels & Emerging Energy,2015,187.47020,British Columbia,"Industrial"
27017,Current Measures,Biofuels & Emerging Energy,2015,216.92900,British Columbia,"Total End-Use"
27035,Current Measures,Biofuels & Emerging Energy,2016,0.00390,British Columbia,"Commercial"
27057,Current Measures,Biofuels & Emerging Energy,2016,12.39990,British Columbia,"Residential"
27072,Current Measures,Biofuels & Emerging Energy,2016,181.47950,British Columbia,"Industrial"
27073,Current Measures,Biofuels & Emerging Energy,2016,211.46760,British Columbia,"Total End-Use"
27090,Current Measures,Biofuels & Emerging Energy,2017,0.00350,British Columbia,"Commercial"
27113,Current Measures,Biofuels & Emerging Energy,2017,12.30000,British Columbia,"Residential"
27128,Current Measures,Biofuels & Emerging Energy,2017,193.54870,British Columbia,"Industrial"
27129,Current Measures,Biofuels & Emerging Energy,2017,224.25410,British Columbia,"Total End-Use"
27146,Current Measures,Biofuels & Emerging Energy,2018,0.00370,British Columbia,"Commercial"
27169,Current Measures,Biofuels & Emerging Energy,2018,12.10010,British Columbia,"Residential"
27184,Current Measures,Biofuels & Emerging Energy,2018,185.98260,British Columbia,"Industrial"
27185,Current Measures,Biofuels & Emerging Energy,2018,217.75640,British Columbia,"Total End-Use"
27205,Current Measures,Biofuels & Emerging Energy,2019,0.00640,British Columbia,"Commercial"
27225,Current Measures,Biofuels & Emerging Energy,2019,12.47120,British Columbia,"Residential"
27240,Current Measures,Biofuels & Emerging Energy,2019,192.93490,British Columbia,"Industrial"
27241,Current Measures,Biofuels & Emerging Energy,2019,226.75000,British Columbia,"Total End-Use"
27261,Current Measures,Biofuels & Emerging Energy,2020,0.00700,British Columbia,"Commercial"
27282,Current Measures,Biofuels & Emerging Energy,2020,12.72700,British Columbia,"Residential"
27296,Current Measures,Biofuels & Emerging Energy,2020,181.01870,British Columbia,"Industrial"
27297,Current Measures,Biofuels & Emerging Energy,2020,213.77040,British Columbia,"Total End-Use"
27322,Current Measures,Biofuels & Emerging Energy,2021,0.75590,British Columbia,"Commercial"
27337,Current Measures,Biofuels & Emerging Energy,2021,11.81010,British Columbia,"Residential"
27352,Current Measures,Biofuels & Emerging Energy,2021,185.82690,British Columbia,"Industrial"
27353,Current Measures,Biofuels & Emerging Energy,2021,228.91720,British Columbia,"Total End-Use"
27379,Current Measures,Biofuels & Emerging Energy,2022,1.19810,British Columbia,"Commercial"
27393,Current Measures,Biofuels & Emerging Energy,2022,12.11510,British Columbia,"Residential"
27408,Current Measures,Biofuels & Emerging Energy,2022,195.71080,British Columbia,"Industrial"
27409,Current Measures,Biofuels & Emerging Energy,2022,243.12500,British Columbia,"Total End-Use"
27435,Current Measures,Biofuels & Emerging Energy,2023,1.63250,British Columbia,"Commercial"
27449,Current Measures,Biofuels & Emerging Energy,2023,12.14500,British Columbia,"Residential"
27464,Current Measures,Biofuels & Emerging Energy,2023,195.60620,British Columbia,"Industrial"
27465,Current Measures,Biofuels & Emerging Energy,2023,245.26920,British Columbia,"Total End-Use"
27493,Current Measures,Biofuels & Emerging Energy,2024,2.41060,British Columbia,"Commercial"
27505,Current Measures,Biofuels & Emerging Energy,2024,12.39350,British Columbia,"Residential"
27520,Current Measures,Biofuels & Emerging Energy,2024,199.88010,British Columbia,"Industrial"
27521,Current Measures,Biofuels & Emerging Energy,2024,254.39820,British Columbia,"Total End-Use"
27550,Current Measures,Biofuels & Emerging Energy,2025,3.60540,British Columbia,"Commercial"
27561,Current Measures,Biofuels & Emerging Energy,2025,13.01640,British Columbia,"Residential"
27576,Current Measures,Biofuels & Emerging Energy,2025,204.21220,British Columbia,"Industrial"
27577,Current Measures,Biofuels & Emerging Energy,2025,262.53520,British Columbia,"Total End-Use"
27607,Current Measures,Biofuels & Emerging Energy,2026,4.81330,British Columbia,"Commercial"
27617,Current Measures,Biofuels & Emerging Energy,2026,13.63570,British Columbia,"Residential"
27632,Current Measures,Biofuels & Emerging Energy,2026,209.50180,British Columbia,"Industrial"
27633,Current Measures,Biofuels & Emerging Energy,2026,272.93400,British Columbia,"Total End-Use"
27666,Current Measures,Biofuels & Emerging Energy,2027,6.36530,British Columbia,"Commercial"
27673,Current Measures,Biofuels & Emerging Energy,2027,14.59160,British Columbia,"Residential"
27688,Current Measures,Biofuels & Emerging Energy,2027,217.16870,British Columbia,"Industrial"
27689,Current Measures,Biofuels & Emerging Energy,2027,286.14800,British Columbia,"Total End-Use"
27723,Current Measures,Biofuels & Emerging Energy,2028,7.84980,British Columbia,"Commercial"
27729,Current Measures,Biofuels & Emerging Energy,2028,15.52370,British Columbia,"Residential"
27744,Current Measures,Biofuels & Emerging Energy,2028,224.50580,British Columbia,"Industrial"
27745,Current Measures,Biofuels & Emerging Energy,2028,297.98490,British Columbia,"Total End-Use"
27780,Current Measures,Biofuels & Emerging Energy,2029,9.75750,British Columbia,"Commercial"
27785,Current Measures,Biofuels & Emerging Energy,2029,16.75170,British Columbia,"Residential"
27800,Current Measures,Biofuels & Emerging Energy,2029,234.53580,British Columbia,"Industrial"
27801,Current Measures,Biofuels & Emerging Energy,2029,311.55880,British Columbia,"Total End-Use"
27838,Current Measures,Biofuels & Emerging Energy,2030,11.65560,British Columbia,"Commercial"
27841,Current Measures,Biofuels & Emerging Energy,2030,17.94550,British Columbia,"Residential"
27856,Current Measures,Biofuels & Emerging Energy,2030,245.74410,British Columbia,"Industrial"
27857,Current Measures,Biofuels & Emerging Energy,2030,328.09670,British Columbia,"Total End-Use"
27894,Current Measures,Biofuels & Emerging Energy,2031,11.51780,British Columbia,"Commercial"
27897,Current Measures,Biofuels & Emerging Energy,2031,17.76540,British Columbia,"Residential"
27912,Current Measures,Biofuels & Emerging Energy,2031,248.48930,British Columbia,"Industrial"
27913,Current Measures,Biofuels & Emerging Energy,2031,330.57930,British Columbia,"Total End-Use"
27950,Current Measures,Biofuels & Emerging Energy,2032,11.37890,British Columbia,"Commercial"
27953,Current Measures,Biofuels & Emerging Energy,2032,17.62010,British Columbia,"Residential"
27968,Current Measures,Biofuels & Emerging Energy,2032,249.92300,British Columbia,"Industrial"
27969,Current Measures,Biofuels & Emerging Energy,2032,331.65450,British Columbia,"Total End-Use"
28006,Current Measures,Biofuels & Emerging Energy,2033,11.33090,British Columbia,"Commercial"
28009,Current Measures,Biofuels & Emerging Energy,2033,17.48930,British Columbia,"Residential"
28024,Current Measures,Biofuels & Emerging Energy,2033,252.42050,British Columbia,"Industrial"
28025,Current Measures,Biofuels & Emerging Energy,2033,333.94600,British Columbia,"Total End-Use"
28062,Current Measures,Biofuels & Emerging Energy,2034,11.29800,British Columbia,"Commercial"
28065,Current Measures,Biofuels & Emerging Energy,2034,17.37960,British Columbia,"Residential"
28080,Current Measures,Biofuels & Emerging Energy,2034,255.14310,British Columbia,"Industrial"
28081,Current Measures,Biofuels & Emerging Energy,2034,336.65940,British Columbia,"Total End-Use"
28118,Current Measures,Biofuels & Emerging Energy,2035,11.26430,British Columbia,"Commercial"
28121,Current Measures,Biofuels & Emerging Energy,2035,17.28100,British Columbia,"Residential"
28136,Current Measures,Biofuels & Emerging Energy,2035,257.47420,British Columbia,"Industrial"
28137,Current Measures,Biofuels & Emerging Energy,2035,338.95020,British Columbia,"Total End-Use"
28174,Current Measures,Biofuels & Emerging Energy,2036,11.22530,British Columbia,"Commercial"
28177,Current Measures,Biofuels & Emerging Energy,2036,17.18880,British Columbia,"Residential"
28192,Current Measures,Biofuels & Emerging Energy,2036,259.17340,British Columbia,"Industrial"
28193,Current Measures,Biofuels & Emerging Energy,2036,340.54720,British Columbia,"Total End-Use"
28230,Current Measures,Biofuels & Emerging Energy,2037,11.17960,British Columbia,"Commercial"
28233,Current Measures,Biofuels & Emerging Energy,2037,17.10350,British Columbia,"Residential"
28248,Current Measures,Biofuels & Emerging Energy,2037,260.28690,British Columbia,"Industrial"
28249,Current Measures,Biofuels & Emerging Energy,2037,341.54880,British Columbia,"Total End-Use"
28286,Current Measures,Biofuels & Emerging Energy,2038,11.14580,British Columbia,"Commercial"
28289,Current Measures,Biofuels & Emerging Energy,2038,17.02040,British Columbia,"Residential"
28304,Current Measures,Biofuels & Emerging Energy,2038,260.97750,British Columbia,"Industrial"
28305,Current Measures,Biofuels & Emerging Energy,2038,342.09110,British Columbia,"Total End-Use"
28342,Current Measures,Biofuels & Emerging Energy,2039,11.13210,British Columbia,"Commercial"
28345,Current Measures,Biofuels & Emerging Energy,2039,16.93690,British Columbia,"Residential"
28360,Current Measures,Biofuels & Emerging Energy,2039,261.56860,British Columbia,"Industrial"
28361,Current Measures,Biofuels & Emerging Energy,2039,342.57160,British Columbia,"Total End-Use"
28398,Current Measures,Biofuels & Emerging Energy,2040,11.11280,British Columbia,"Commercial"
28401,Current Measures,Biofuels & Emerging Energy,2040,16.86150,British Columbia,"Residential"
28416,Current Measures,Biofuels & Emerging Energy,2040,262.21730,British Columbia,"Industrial"
28417,Current Measures,Biofuels & Emerging Energy,2040,343.18270,British Columbia,"Total End-Use"
28454,Current Measures,Biofuels & Emerging Energy,2041,11.10080,British Columbia,"Commercial"
28457,Current Measures,Biofuels & Emerging Energy,2041,16.80200,British Columbia,"Residential"
28472,Current Measures,Biofuels & Emerging Energy,2041,262.75720,British Columbia,"Industrial"
28473,Current Measures,Biofuels & Emerging Energy,2041,343.75410,British Columbia,"Total End-Use"
28510,Current Measures,Biofuels & Emerging Energy,2042,11.09440,British Columbia,"Commercial"
28513,Current Measures,Biofuels & Emerging Energy,2042,16.75480,British Columbia,"Residential"
28528,Current Measures,Biofuels & Emerging Energy,2042,263.28380,British Columbia,"Industrial"
28529,Current Measures,Biofuels & Emerging Energy,2042,344.38760,British Columbia,"Total End-Use"
28566,Current Measures,Biofuels & Emerging Energy,2043,11.10130,British Columbia,"Commercial"
28569,Current Measures,Biofuels & Emerging Energy,2043,16.72460,British Columbia,"Residential"
28584,Current Measures,Biofuels & Emerging Energy,2043,263.83430,British Columbia,"Industrial"
28585,Current Measures,Biofuels & Emerging Energy,2043,345.15350,British Columbia,"Total End-Use"
28622,Current Measures,Biofuels & Emerging Energy,2044,11.11810,British Columbia,"Commercial"
28625,Current Measures,Biofuels & Emerging Energy,2044,16.70770,British Columbia,"Residential"
28640,Current Measures,Biofuels & Emerging Energy,2044,264.56400,British Columbia,"Industrial"
28641,Current Measures,Biofuels & Emerging Energy,2044,346.21450,British Columbia,"Total End-Use"
28678,Current Measures,Biofuels & Emerging Energy,2045,11.14340,British Columbia,"Commercial"
28681,Current Measures,Biofuels & Emerging Energy,2045,16.70920,British Columbia,"Residential"
28696,Current Measures,Biofuels & Emerging Energy,2045,265.43650,British Columbia,"Industrial"
28697,Current Measures,Biofuels & Emerging Energy,2045,347.55240,British Columbia,"Total End-Use"
28734,Current Measures,Biofuels & Emerging Energy,2046,11.17970,British Columbia,"Commercial"
28737,Current Measures,Biofuels & Emerging Energy,2046,16.72320,British Columbia,"Residential"
28752,Current Measures,Biofuels & Emerging Energy,2046,266.46060,British Columbia,"Industrial"
28753,Current Measures,Biofuels & Emerging Energy,2046,349.16560,British Columbia,"Total End-Use"
28790,Current Measures,Biofuels & Emerging Energy,2047,11.23210,British Columbia,"Commercial"
28793,Current Measures,Biofuels & Emerging Energy,2047,16.75150,British Columbia,"Residential"
28808,Current Measures,Biofuels & Emerging Energy,2047,267.42170,British Columbia,"Industrial"
28809,Current Measures,Biofuels & Emerging Energy,2047,350.82960,British Columbia,"Total End-Use"
28846,Current Measures,Biofuels & Emerging Energy,2048,11.29570,British Columbia,"Commercial"
28849,Current Measures,Biofuels & Emerging Energy,2048,16.79560,British Columbia,"Residential"
28864,Current Measures,Biofuels & Emerging Energy,2048,268.39520,British Columbia,"Industrial"
28865,Current Measures,Biofuels & Emerging Energy,2048,352.60150,British Columbia,"Total End-Use"
28902,Current Measures,Biofuels & Emerging Energy,2049,11.36460,British Columbia,"Commercial"
28905,Current Measures,Biofuels & Emerging Energy,2049,16.85090,British Columbia,"Residential"
28920,Current Measures,Biofuels & Emerging Energy,2049,269.53560,British Columbia,"Industrial"
28921,Current Measures,Biofuels & Emerging Energy,2049,354.62880,British Columbia,"Total End-Use"
28958,Current Measures,Biofuels & Emerging Energy,2050,11.44500,British Columbia,"Commercial"
28961,Current Measures,Biofuels & Emerging Energy,2050,16.91860,British Columbia,"Residential"
28976,Current Measures,Biofuels & Emerging Energy,2050,270.71460,British Columbia,"Industrial"
28977,Current Measures,Biofuels & Emerging Energy,2050,356.76640,British Columbia,"Total End-Use"
28989,Current Measures,Diesel,2005,92.06000,British Columbia,"Transportation"
29003,Current Measures,Diesel,2006,88.91500,British Columbia,"Transportation"
29017,Current Measures,Diesel,2007,89.57600,British Columbia,"Transportation"
29031,Current Measures,Diesel,2008,100.01000,British Columbia,"Transportation"
29045,Current Measures,Diesel,2009,85.35900,British Columbia,"Transportation"
29059,Current Measures,Diesel,2010,90.61800,British Columbia,"Transportation"
29073,Current Measures,Diesel,2011,87.11300,British Columbia,"Transportation"
29087,Current Measures,Diesel,2012,91.45300,British Columbia,"Transportation"
29101,Current Measures,Diesel,2013,98.28800,British Columbia,"Transportation"
29115,Current Measures,Diesel,2014,97.19600,British Columbia,"Transportation"
29129,Current Measures,Diesel,2015,95.21700,British Columbia,"Transportation"
29143,Current Measures,Diesel,2016,98.52100,British Columbia,"Transportation"
29157,Current Measures,Diesel,2017,104.09400,British Columbia,"Transportation"
29171,Current Measures,Diesel,2018,112.34700,British Columbia,"Transportation"
29185,Current Measures,Diesel,2019,117.54100,British Columbia,"Transportation"
29199,Current Measures,Diesel,2020,102.23320,British Columbia,"Transportation"
29213,Current Measures,Diesel,2021,97.10920,British Columbia,"Transportation"
29227,Current Measures,Diesel,2022,96.19360,British Columbia,"Transportation"
29241,Current Measures,Diesel,2023,97.68120,British Columbia,"Transportation"
29255,Current Measures,Diesel,2024,94.32640,British Columbia,"Transportation"
29269,Current Measures,Diesel,2025,93.69520,British Columbia,"Transportation"
29283,Current Measures,Diesel,2026,92.30390,British Columbia,"Transportation"
29297,Current Measures,Diesel,2027,90.01750,British Columbia,"Transportation"
29311,Current Measures,Diesel,2028,87.92840,British Columbia,"Transportation"
29325,Current Measures,Diesel,2029,88.53510,British Columbia,"Transportation"
29339,Current Measures,Diesel,2030,87.81670,British Columbia,"Transportation"
29353,Current Measures,Diesel,2031,87.92110,British Columbia,"Transportation"
29367,Current Measures,Diesel,2032,87.83320,British Columbia,"Transportation"
29381,Current Measures,Diesel,2033,87.85230,British Columbia,"Transportation"
29395,Current Measures,Diesel,2034,88.18490,British Columbia,"Transportation"
29409,Current Measures,Diesel,2035,88.45830,British Columbia,"Transportation"
29423,Current Measures,Diesel,2036,88.60930,British Columbia,"Transportation"
29437,Current Measures,Diesel,2037,88.74880,British Columbia,"Transportation"
29451,Current Measures,Diesel,2038,88.79970,British Columbia,"Transportation"
29465,Current Measures,Diesel,2039,88.88770,British Columbia,"Transportation"
29479,Current Measures,Diesel,2040,89.10660,British Columbia,"Transportation"
29493,Current Measures,Diesel,2041,89.40560,British Columbia,"Transportation"
29507,Current Measures,Diesel,2042,89.80740,British Columbia,"Transportation"
29521,Current Measures,Diesel,2043,90.35300,British Columbia,"Transportation"
29535,Current Measures,Diesel,2044,91.06670,British Columbia,"Transportation"
29549,Current Measures,Diesel,2045,91.97740,British Columbia,"Transportation"
29563,Current Measures,Diesel,2046,93.06860,British Columbia,"Transportation"
29577,Current Measures,Diesel,2047,94.30760,British Columbia,"Transportation"
29591,Current Measures,Diesel,2048,95.66730,British Columbia,"Transportation"
29605,Current Measures,Diesel,2049,97.15450,British Columbia,"Transportation"
29619,Current Measures,Diesel,2050,98.72640,British Columbia,"Transportation"
29640,Current Measures,Electricity,2005,0.50700,British Columbia,"Transportation"
29673,Current Measures,Electricity,2005,52.68200,British Columbia,"Commercial"
29676,Current Measures,Electricity,2005,63.41300,British Columbia,"Residential"
29678,Current Measures,Electricity,2005,111.19650,British Columbia,"Industrial"
29686,Current Measures,Electricity,2005,227.79850,British Columbia,"Total End-Use"
29710,Current Measures,Electricity,2006,0.42400,British Columbia,"Transportation"
29744,Current Measures,Electricity,2006,53.77380,British Columbia,"Commercial"
29746,Current Measures,Electricity,2006,63.78310,British Columbia,"Residential"
29748,Current Measures,Electricity,2006,100.68710,British Columbia,"Industrial"
29755,Current Measures,Electricity,2006,218.66800,British Columbia,"Total End-Use"
29781,Current Measures,Electricity,2007,0.51400,British Columbia,"Transportation"
29814,Current Measures,Electricity,2007,54.70240,British Columbia,"Commercial"
29816,Current Measures,Electricity,2007,66.11390,British Columbia,"Residential"
29818,Current Measures,Electricity,2007,98.22370,British Columbia,"Industrial"
29825,Current Measures,Electricity,2007,219.55400,British Columbia,"Total End-Use"
29851,Current Measures,Electricity,2008,0.61100,British Columbia,"Transportation"
29884,Current Measures,Electricity,2008,54.89130,British Columbia,"Commercial"
29886,Current Measures,Electricity,2008,67.44240,British Columbia,"Residential"
29888,Current Measures,Electricity,2008,90.91820,British Columbia,"Industrial"
29894,Current Measures,Electricity,2008,213.86290,British Columbia,"Total End-Use"
29923,Current Measures,Electricity,2009,0.67400,British Columbia,"Transportation"
