,scenario,variable,year,value,region,sector
2333,Canada Net-zero,Biofuels & Emerging Energy,2023,12.40460,British Columbia,"Residential"
2348,Canada Net-zero,Biofuels & Emerging Energy,2023,193.16490,British Columbia,"Industrial"
2349,Canada Net-zero,Biofuels & Emerging Energy,2023,242.97500,British Columbia,"Total End-Use"
2376,Canada Net-zero,Biofuels & Emerging Energy,2024,2.41110,British Columbia,"Commercial"
2389,Canada Net-zero,Biofuels & Emerging Energy,2024,12.35780,British Columbia,"Residential"
2403,Canada Net-zero,Biofuels & Emerging Energy,2024,196.37020,British Columbia,"Industrial"
2405,Canada Net-zero,Biofuels & Emerging Energy,2024,250.96160,British Columbia,"Total End-Use"
2433,Canada Net-zero,Biofuels & Emerging Energy,2025,3.59110,British Columbia,"Commercial"
2443,Canada Net-zero,Biofuels & Emerging Energy,2025,12.66090,British Columbia,"Residential"
2459,Canada Net-zero,Biofuels & Emerging Energy,2025,200.13600,British Columbia,"Industrial"
2461,Canada Net-zero,Biofuels & Emerging Energy,2025,258.35310,British Columbia,"Total End-Use"
2491,Canada Net-zero,Biofuels & Emerging Energy,2026,4.76030,British Columbia,"Commercial"
2498,Canada Net-zero,Biofuels & Emerging Energy,2026,12.94000,British Columbia,"Residential"
2516,Canada Net-zero,Biofuels & Emerging Energy,2026,204.08720,British Columbia,"Industrial"
2517,Canada Net-zero,Biofuels & Emerging Energy,2026,266.72690,British Columbia,"Total End-Use"
2549,Canada Net-zero,Biofuels & Emerging Energy,2027,6.24150,British Columbia,"Commercial"
2555,Canada Net-zero,Biofuels & Emerging Energy,2027,13.51580,British Columbia,"Residential"
2572,Canada Net-zero,Biofuels & Emerging Energy,2027,210.31840,British Columbia,"Industrial"
2573,Canada Net-zero,Biofuels & Emerging Energy,2027,277.78840,British Columbia,"Total End-Use"
2606,Canada Net-zero,Biofuels & Emerging Energy,2028,7.63610,British Columbia,"Commercial"
2611,Canada Net-zero,Biofuels & Emerging Energy,2028,14.03840,British Columbia,"Residential"
2628,Canada Net-zero,Biofuels & Emerging Energy,2028,216.99690,British Columbia,"Industrial"
2629,Canada Net-zero,Biofuels & Emerging Energy,2028,287.94340,British Columbia,"Total End-Use"
2664,Canada Net-zero,Biofuels & Emerging Energy,2029,9.38590,British Columbia,"Commercial"
2667,Canada Net-zero,Biofuels & Emerging Energy,2029,14.80420,British Columbia,"Residential"
2684,Canada Net-zero,Biofuels & Emerging Energy,2029,226.50440,British Columbia,"Industrial"
2685,Canada Net-zero,Biofuels & Emerging Energy,2029,299.90200,British Columbia,"Total End-Use"
2721,Canada Net-zero,Biofuels & Emerging Energy,2030,11.08100,British Columbia,"Commercial"
2723,Canada Net-zero,Biofuels & Emerging Energy,2030,15.49520,British Columbia,"Residential"
2740,Canada Net-zero,Biofuels & Emerging Energy,2030,237.00680,British Columbia,"Industrial"
2741,Canada Net-zero,Biofuels & Emerging Energy,2030,314.27350,British Columbia,"Total End-Use"
2777,Canada Net-zero,Biofuels & Emerging Energy,2031,10.75280,British Columbia,"Commercial"
2779,Canada Net-zero,Biofuels & Emerging Energy,2031,14.80390,British Columbia,"Residential"
2796,Canada Net-zero,Biofuels & Emerging Energy,2031,240.49570,British Columbia,"Industrial"
2797,Canada Net-zero,Biofuels & Emerging Energy,2031,315.92900,British Columbia,"Total End-Use"
2832,Canada Net-zero,Biofuels & Emerging Energy,2032,10.33870,British Columbia,"Commercial"
2834,Canada Net-zero,Biofuels & Emerging Energy,2032,14.14410,British Columbia,"Residential"
2852,Canada Net-zero,Biofuels & Emerging Energy,2032,242.12890,British Columbia,"Industrial"
2853,Canada Net-zero,Biofuels & Emerging Energy,2032,315.53500,British Columbia,"Total End-Use"
2888,Canada Net-zero,Biofuels & Emerging Energy,2033,9.93540,British Columbia,"Commercial"
2890,Canada Net-zero,Biofuels & Emerging Energy,2033,13.50250,British Columbia,"Residential"
2908,Canada Net-zero,Biofuels & Emerging Energy,2033,243.47770,British Columbia,"Industrial"
2909,Canada Net-zero,Biofuels & Emerging Energy,2033,314.77910,British Columbia,"Total End-Use"
2944,Canada Net-zero,Biofuels & Emerging Energy,2034,9.54270,British Columbia,"Commercial"
2946,Canada Net-zero,Biofuels & Emerging Energy,2034,12.88120,British Columbia,"Residential"
2964,Canada Net-zero,Biofuels & Emerging Energy,2034,244.65890,British Columbia,"Industrial"
2965,Canada Net-zero,Biofuels & Emerging Energy,2034,313.97760,British Columbia,"Total End-Use"
3000,Canada Net-zero,Biofuels & Emerging Energy,2035,9.15990,British Columbia,"Commercial"
3002,Canada Net-zero,Biofuels & Emerging Energy,2035,12.27990,British Columbia,"Residential"
3020,Canada Net-zero,Biofuels & Emerging Energy,2035,245.59140,British Columbia,"Industrial"
3021,Canada Net-zero,Biofuels & Emerging Energy,2035,312.91440,British Columbia,"Total End-Use"
3055,Canada Net-zero,Biofuels & Emerging Energy,2036,8.75430,British Columbia,"Commercial"
3058,Canada Net-zero,Biofuels & Emerging Energy,2036,11.70040,British Columbia,"Residential"
3076,Canada Net-zero,Biofuels & Emerging Energy,2036,246.09220,British Columbia,"Industrial"
3077,Canada Net-zero,Biofuels & Emerging Energy,2036,311.88300,British Columbia,"Total End-Use"
3111,Canada Net-zero,Biofuels & Emerging Energy,2037,8.36920,British Columbia,"Commercial"
3114,Canada Net-zero,Biofuels & Emerging Energy,2037,11.14450,British Columbia,"Residential"
3132,Canada Net-zero,Biofuels & Emerging Energy,2037,246.56170,British Columbia,"Industrial"
3133,Canada Net-zero,Biofuels & Emerging Energy,2037,311.00520,British Columbia,"Total End-Use"
3166,Canada Net-zero,Biofuels & Emerging Energy,2038,8.00690,British Columbia,"Commercial"
3169,Canada Net-zero,Biofuels & Emerging Energy,2038,10.61100,British Columbia,"Residential"
3188,Canada Net-zero,Biofuels & Emerging Energy,2038,246.57340,British Columbia,"Industrial"
3189,Canada Net-zero,Biofuels & Emerging Energy,2038,309.77930,British Columbia,"Total End-Use"
3221,Canada Net-zero,Biofuels & Emerging Energy,2039,7.66370,British Columbia,"Commercial"
3225,Canada Net-zero,Biofuels & Emerging Energy,2039,10.09810,British Columbia,"Residential"
3244,Canada Net-zero,Biofuels & Emerging Energy,2039,246.26040,British Columbia,"Industrial"
3245,Canada Net-zero,Biofuels & Emerging Energy,2039,308.34590,British Columbia,"Total End-Use"
3277,Canada Net-zero,Biofuels & Emerging Energy,2040,7.32770,British Columbia,"Commercial"
3281,Canada Net-zero,Biofuels & Emerging Energy,2040,9.60830,British Columbia,"Residential"
3300,Canada Net-zero,Biofuels & Emerging Energy,2040,245.72330,British Columbia,"Industrial"
3301,Canada Net-zero,Biofuels & Emerging Energy,2040,308.37170,British Columbia,"Total End-Use"
3332,Canada Net-zero,Biofuels & Emerging Energy,2041,6.99900,British Columbia,"Commercial"
3336,Canada Net-zero,Biofuels & Emerging Energy,2041,9.14320,British Columbia,"Residential"
3356,Canada Net-zero,Biofuels & Emerging Energy,2041,244.90640,British Columbia,"Industrial"
3357,Canada Net-zero,Biofuels & Emerging Energy,2041,308.34550,British Columbia,"Total End-Use"
3387,Canada Net-zero,Biofuels & Emerging Energy,2042,6.68230,British Columbia,"Commercial"
3392,Canada Net-zero,Biofuels & Emerging Energy,2042,8.69510,British Columbia,"Residential"
3412,Canada Net-zero,Biofuels & Emerging Energy,2042,244.00850,British Columbia,"Industrial"
3413,Canada Net-zero,Biofuels & Emerging Energy,2042,308.35140,British Columbia,"Total End-Use"
3443,Canada Net-zero,Biofuels & Emerging Energy,2043,6.38980,British Columbia,"Commercial"
3447,Canada Net-zero,Biofuels & Emerging Energy,2043,8.26700,British Columbia,"Residential"
3468,Canada Net-zero,Biofuels & Emerging Energy,2043,243.17600,British Columbia,"Industrial"
3469,Canada Net-zero,Biofuels & Emerging Energy,2043,308.44680,British Columbia,"Total End-Use"
3499,Canada Net-zero,Biofuels & Emerging Energy,2044,6.10650,British Columbia,"Commercial"
3501,Canada Net-zero,Biofuels & Emerging Energy,2044,7.85850,British Columbia,"Residential"
3524,Canada Net-zero,Biofuels & Emerging Energy,2044,242.28940,British Columbia,"Industrial"
3525,Canada Net-zero,Biofuels & Emerging Energy,2044,308.57990,British Columbia,"Total End-Use"
3555,Canada Net-zero,Biofuels & Emerging Energy,2045,5.83010,British Columbia,"Commercial"
3557,Canada Net-zero,Biofuels & Emerging Energy,2045,7.46940,British Columbia,"Residential"
3579,Canada Net-zero,Biofuels & Emerging Energy,2045,241.31740,British Columbia,"Industrial"
3581,Canada Net-zero,Biofuels & Emerging Energy,2045,308.66070,British Columbia,"Total End-Use"
3611,Canada Net-zero,Biofuels & Emerging Energy,2046,5.57320,British Columbia,"Commercial"
3612,Canada Net-zero,Biofuels & Emerging Energy,2046,7.09900,British Columbia,"Residential"
3635,Canada Net-zero,Biofuels & Emerging Energy,2046,240.53730,British Columbia,"Industrial"
3637,Canada Net-zero,Biofuels & Emerging Energy,2046,309.38600,British Columbia,"Total End-Use"
3667,Canada Net-zero,Biofuels & Emerging Energy,2047,5.33420,British Columbia,"Commercial"
3668,Canada Net-zero,Biofuels & Emerging Energy,2047,6.74810,British Columbia,"Residential"
3691,Canada Net-zero,Biofuels & Emerging Energy,2047,239.63890,British Columbia,"Industrial"
3693,Canada Net-zero,Biofuels & Emerging Energy,2047,310.69360,British Columbia,"Total End-Use"
3723,Canada Net-zero,Biofuels & Emerging Energy,2048,5.10580,British Columbia,"Commercial"
3724,Canada Net-zero,Biofuels & Emerging Energy,2048,6.41510,British Columbia,"Residential"
3747,Canada Net-zero,Biofuels & Emerging Energy,2048,238.62510,British Columbia,"Industrial"
3749,Canada Net-zero,Biofuels & Emerging Energy,2048,311.86240,British Columbia,"Total End-Use"
3779,Canada Net-zero,Biofuels & Emerging Energy,2049,4.88460,British Columbia,"Commercial"
3780,Canada Net-zero,Biofuels & Emerging Energy,2049,6.09950,British Columbia,"Residential"
3803,Canada Net-zero,Biofuels & Emerging Energy,2049,237.73020,British Columbia,"Industrial"
3805,Canada Net-zero,Biofuels & Emerging Energy,2049,313.36790,British Columbia,"Total End-Use"
3835,Canada Net-zero,Biofuels & Emerging Energy,2050,4.67940,British Columbia,"Commercial"
3836,Canada Net-zero,Biofuels & Emerging Energy,2050,5.80230,British Columbia,"Residential"
3859,Canada Net-zero,Biofuels & Emerging Energy,2050,236.95310,British Columbia,"Industrial"
3861,Canada Net-zero,Biofuels & Emerging Energy,2050,314.88270,British Columbia,"Total End-Use"
3873,Canada Net-zero,Diesel,2005,92.06000,British Columbia,"Transportation"
3887,Canada Net-zero,Diesel,2006,88.91500,British Columbia,"Transportation"
3901,Canada Net-zero,Diesel,2007,89.57600,British Columbia,"Transportation"
3915,Canada Net-zero,Diesel,2008,100.01000,British Columbia,"Transportation"
3929,Canada Net-zero,Diesel,2009,85.35900,British Columbia,"Transportation"
3943,Canada Net-zero,Diesel,2010,90.61800,British Columbia,"Transportation"
3957,Canada Net-zero,Diesel,2011,87.11300,British Columbia,"Transportation"
3971,Canada Net-zero,Diesel,2012,91.45300,British Columbia,"Transportation"
3985,Canada Net-zero,Diesel,2013,98.28800,British Columbia,"Transportation"
3999,Canada Net-zero,Diesel,2014,97.19600,British Columbia,"Transportation"
4013,Canada Net-zero,Diesel,2015,95.21700,British Columbia,"Transportation"
4027,Canada Net-zero,Diesel,2016,98.52100,British Columbia,"Transportation"
4041,Canada Net-zero,Diesel,2017,104.09400,British Columbia,"Transportation"
4055,Canada Net-zero,Diesel,2018,112.34700,British Columbia,"Transportation"
4069,Canada Net-zero,Diesel,2019,117.54100,British Columbia,"Transportation"
4083,Canada Net-zero,Diesel,2020,102.23320,British Columbia,"Transportation"
4097,Canada Net-zero,Diesel,2021,97.10920,British Columbia,"Transportation"
4111,Canada Net-zero,Diesel,2022,96.19360,British Columbia,"Transportation"
4125,Canada Net-zero,Diesel,2023,97.77320,British Columbia,"Transportation"
4139,Canada Net-zero,Diesel,2024,94.10920,British Columbia,"Transportation"
4153,Canada Net-zero,Diesel,2025,93.57010,British Columbia,"Transportation"
4167,Canada Net-zero,Diesel,2026,91.39540,British Columbia,"Transportation"
4181,Canada Net-zero,Diesel,2027,87.51730,British Columbia,"Transportation"
4195,Canada Net-zero,Diesel,2028,83.48930,British Columbia,"Transportation"
4209,Canada Net-zero,Diesel,2029,81.42200,British Columbia,"Transportation"
4223,Canada Net-zero,Diesel,2030,77.54050,British Columbia,"Transportation"
4237,Canada Net-zero,Diesel,2031,74.36590,British Columbia,"Transportation"
4251,Canada Net-zero,Diesel,2032,70.85610,British Columbia,"Transportation"
4265,Canada Net-zero,Diesel,2033,67.17400,British Columbia,"Transportation"
4279,Canada Net-zero,Diesel,2034,63.65890,British Columbia,"Transportation"
4293,Canada Net-zero,Diesel,2035,59.95810,British Columbia,"Transportation"
4307,Canada Net-zero,Diesel,2036,56.47330,British Columbia,"Transportation"
4321,Canada Net-zero,Diesel,2037,53.32050,British Columbia,"Transportation"
4335,Canada Net-zero,Diesel,2038,50.40040,British Columbia,"Transportation"
4349,Canada Net-zero,Diesel,2039,47.72640,British Columbia,"Transportation"
4363,Canada Net-zero,Diesel,2040,45.29760,British Columbia,"Transportation"
4377,Canada Net-zero,Diesel,2041,42.11380,British Columbia,"Transportation"
4391,Canada Net-zero,Diesel,2042,39.12790,British Columbia,"Transportation"
4405,Canada Net-zero,Diesel,2043,36.36710,British Columbia,"Transportation"
4420,Canada Net-zero,Diesel,2044,33.80360,British Columbia,"Transportation"
4435,Canada Net-zero,Diesel,2045,31.42540,British Columbia,"Transportation"
4449,Canada Net-zero,Diesel,2046,28.99110,British Columbia,"Transportation"
