"Scenario","Region","Variable","Year","Value","Sector"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2030","97.263500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2030","1.713700","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2030","121.256500","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2031","0.116300","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2031","103.240200","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2031","1.781700","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2031","128.033300","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2032","0.343800","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2032","111.179000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2032","1.978100","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2032","136.927600","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2033","0.451100","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2033","117.466800","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2033","2.044900","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2033","143.764600","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2034","0.554900","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2034","123.742700","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2034","2.108400","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2034","150.535300","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2035","0.655400","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2035","130.663700","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2035","2.165700","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2035","159.008500","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2036","0.857100","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2036","138.608900","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2036","2.314700","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2036","166.842800","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2037","0.942500","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2037","144.791200","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2037","2.340800","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2037","172.624800","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2038","1.020100","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2038","150.946500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2038","2.354300","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2038","178.290600","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2039","1.089900","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2039","157.061600","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2039","2.355600","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2039","183.853200","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2040","1.242900","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2040","164.667000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2040","2.419500","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2040","190.984200","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2041","1.285300","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2041","170.560500","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2041","2.387200","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2041","196.216700","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2042","1.316400","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2042","176.073000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2042","2.343400","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2042","201.113100","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2043","1.338300","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2043","181.545000","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2043","2.288600","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2043","206.004000","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2044","1.429800","Commercial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2044","188.259800","Industrial"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2044","2.283400","Residential"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2044","212.357500","Total End-Use"
"Canada Net-zero","Alberta","Biofuels & Emerging Energy","2045","1.429700","Commercial"
