REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
REGION1,DEMCOMBIO,BIO,1,2028,8,8.46455459675455
REGION1,DEMCOMBIO,BIO,1,2029,1,11.417955671190956
REGION1,DEMCOMBIO,BIO,1,2029,2,11.417955671190956
REGION1,DEMCOMBIO,BIO,1,2029,3,11.417955671190956
REGION1,DEMCOMBIO,BIO,1,2029,4,11.417955671190956
REGION1,DEMCOMBIO,BIO,1,2029,7,11.417955671190956
REGION1,DEMCOMBIO,BIO,1,2029,8,11.417955671190956
REGION1,DEMCOMBIO,BIO,1,2030,1,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,2,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,3,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,4,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,5,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,6,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,7,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2030,8,11.6600069960042
REGION1,DEMCOMBIO,BIO,1,2031,1,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2031,3,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2031,4,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2031,5,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2031,6,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2031,7,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2031,8,12.665069167548753
REGION1,DEMCOMBIO,BIO,1,2032,2,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2032,3,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2032,4,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2032,5,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2032,6,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2032,7,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2032,8,12.511153396415349
REGION1,DEMCOMBIO,BIO,1,2033,2,13.53667093714982
REGION1,DEMCOMBIO,BIO,1,2033,3,13.53667093714982
REGION1,DEMCOMBIO,BIO,1,2033,4,13.53667093714982
REGION1,DEMCOMBIO,BIO,1,2033,5,13.53667093714982
REGION1,DEMCOMBIO,BIO,1,2033,7,13.53667093714982
REGION1,DEMCOMBIO,BIO,1,2033,8,13.53667093714982
REGION1,DEMCOMBIO,BIO,1,2034,2,11.029795323727718
REGION1,DEMCOMBIO,BIO,1,2034,3,12.576989031907448
REGION1,DEMCOMBIO,BIO,1,2034,4,12.576989031907448
REGION1,DEMCOMBIO,BIO,1,2034,5,12.576989031907448
REGION1,DEMCOMBIO,BIO,1,2034,6,12.576989031907448
REGION1,DEMCOMBIO,BIO,1,2034,7,12.576989031907448
REGION1,DEMCOMBIO,BIO,1,2034,8,12.576989031907448
REGION1,DEMCOMBIO,BIO,1,2035,1,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2035,2,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2035,3,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2035,4,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2035,5,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2035,6,6.350052532716635
REGION1,DEMCOMBIO,BIO,1,2035,7,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2035,8,11.644390195676715
REGION1,DEMCOMBIO,BIO,1,2036,1,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2036,2,8.432351625824813
REGION1,DEMCOMBIO,BIO,1,2036,3,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2036,4,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2036,5,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2036,6,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2036,7,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2036,8,11.508087237213616
REGION1,DEMCOMBIO,BIO,1,2037,1,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,2,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,3,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,4,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,5,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,6,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,7,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2037,8,11.180006708004026
REGION1,DEMCOMBIO,BIO,1,2038,1,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,2,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,3,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,4,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,5,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,6,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,7,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2038,8,11.150006690004014
REGION1,DEMCOMBIO,BIO,1,2039,2,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2039,3,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2039,4,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2039,5,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2039,6,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2039,7,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2039,8,12.236303805105695
REGION1,DEMCOMBIO,BIO,1,2040,1,11.110006666004
REGION1,DEMCOMBIO,BIO,1,2040,2,11.110006666004
