REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
REGION1,DEMRESRPP,CO2,2043,0.03575
REGION1,DEMRESRPP,CO2,2044,0.035035000000000004
REGION1,DEMRESRPP,CO2,2045,0.035035
REGION1,DEMRESRPP,CO2,2046,0.03432
REGION1,DEMRESRPP,CO2,2047,0.03432
REGION1,DEMRESRPP,CO2,2048,0.033605
REGION1,DEMRESRPP,CO2,2049,0.033605
REGION1,DEMRESRPP,CO2,2050,0.033605
REGION1,DEMCOMBIO,CO2,2021,0.05320000000000001
REGION1,DEMCOMBIO,CO2,2022,0.08399999999999998
REGION1,DEMCOMBIO,CO2,2023,0.11409999999999998
REGION1,DEMCOMBIO,CO2,2024,0.1687
REGION1,DEMCOMBIO,CO2,2025,0.25270000000000004
REGION1,DEMCOMBIO,CO2,2026,0.3367
REGION1,DEMCOMBIO,CO2,2027,0.4459
REGION1,DEMCOMBIO,CO2,2028,0.5495
REGION1,DEMCOMBIO,CO2,2029,0.6832000000000003
REGION1,DEMCOMBIO,CO2,2030,0.8162000000000001
REGION1,DEMCOMBIO,CO2,2031,0.8064000000000001
REGION1,DEMCOMBIO,CO2,2032,0.7966000000000002
REGION1,DEMCOMBIO,CO2,2033,0.7930999999999998
REGION1,DEMCOMBIO,CO2,2034,0.7910000000000004
REGION1,DEMCOMBIO,CO2,2035,0.7882000000000005
REGION1,DEMCOMBIO,CO2,2036,0.7861
REGION1,DEMCOMBIO,CO2,2037,0.7826000000000003
REGION1,DEMCOMBIO,CO2,2038,0.7805
REGION1,DEMCOMBIO,CO2,2039,0.7791000000000001
REGION1,DEMCOMBIO,CO2,2040,0.7777
REGION1,DEMCOMBIO,CO2,2041,0.7770000000000001
REGION1,DEMCOMBIO,CO2,2042,0.7763000000000002
REGION1,DEMCOMBIO,CO2,2043,0.7770000000000001
REGION1,DEMCOMBIO,CO2,2044,0.7783999999999999
REGION1,DEMCOMBIO,CO2,2045,0.7798000000000002
REGION1,DEMCOMBIO,CO2,2046,0.7826
REGION1,DEMCOMBIO,CO2,2047,0.7861000000000001
REGION1,DEMCOMBIO,CO2,2048,0.791
REGION1,DEMCOMBIO,CO2,2049,0.7952
REGION1,DEMCOMBIO,CO2,2050,0.8015000000000002
REGION1,DEMCOMNGS,CO2,2021,3.727230000000001
REGION1,DEMCOMNGS,CO2,2022,3.9309450000000017
REGION1,DEMCOMNGS,CO2,2023,4.003377
REGION1,DEMCOMNGS,CO2,2024,3.9073040000000008
REGION1,DEMCOMNGS,CO2,2025,3.839902000000001
REGION1,DEMCOMNGS,CO2,2026,3.786584000000001
REGION1,DEMCOMNGS,CO2,2027,3.6774330000000006
REGION1,DEMCOMNGS,CO2,2028,3.5501740000000006
REGION1,DEMCOMNGS,CO2,2029,3.4329750000000008
REGION1,DEMCOMNGS,CO2,2030,3.320303000000001
REGION1,DEMCOMNGS,CO2,2031,3.281069000000001
REGION1,DEMCOMNGS,CO2,2032,3.241835000000001
REGION1,DEMCOMNGS,CO2,2033,3.2277510000000005
REGION1,DEMCOMNGS,CO2,2034,3.2186970000000006
REGION1,DEMCOMNGS,CO2,2035,3.20914
REGION1,DEMCOMNGS,CO2,2036,3.1980740000000005
REGION1,DEMCOMNGS,CO2,2037,3.1849960000000004
REGION1,DEMCOMNGS,CO2,2038,3.175439000000001
REGION1,DEMCOMNGS,CO2,2039,3.1714150000000005
REGION1,DEMCOMNGS,CO2,2040,3.1658820000000003
REGION1,DEMCOMNGS,CO2,2041,3.1623610000000006
REGION1,DEMCOMNGS,CO2,2042,3.160349000000001
REGION1,DEMCOMNGS,CO2,2043,3.1623610000000006
REGION1,DEMCOMNGS,CO2,2044,3.1673910000000003
REGION1,DEMCOMNGS,CO2,2045,3.1744330000000005
REGION1,DEMCOMNGS,CO2,2046,3.1849960000000004
REGION1,DEMCOMNGS,CO2,2047,3.1995830000000005
REGION1,DEMCOMNGS,CO2,2048,3.2176910000000007
REGION1,DEMCOMNGS,CO2,2049,3.2373080000000005
REGION1,DEMCOMNGS,CO2,2050,3.260446
REGION1,DEMCOMRPP,CO2,2021,0.449735
REGION1,DEMCOMRPP,CO2,2022,0.458315
REGION1,DEMCOMRPP,CO2,2023,0.46403500000000014
REGION1,DEMCOMRPP,CO2,2024,0.4690399999999999
REGION1,DEMCOMRPP,CO2,2025,0.47333000000000014
REGION1,DEMCOMRPP,CO2,2026,0.47905
REGION1,DEMCOMRPP,CO2,2027,0.486915
REGION1,DEMCOMRPP,CO2,2028,0.49334999999999984
REGION1,DEMCOMRPP,CO2,2029,0.498355
REGION1,DEMCOMRPP,CO2,2030,0.504075
