r,t,y,DiscountedTechnologyEmissionsPenalty
REGION1,DEMRESNGS,2023,201.5852
REGION1,DEMRESNGS,2024,229.6904
REGION1,DEMRESNGS,2025,251.9784
REGION1,DEMRESNGS,2026,254.6391
REGION1,DEMRESNGS,2027,252.0744
REGION1,DEMRESNGS,2028,245.5068
REGION1,DEMRESNGS,2029,235.8777
REGION1,DEMRESNGS,2030,223.9956
REGION1,DEMRESNGS,2031,193.4308
REGION1,DEMRESNGS,2032,166.5979
REGION1,DEMRESNGS,2033,143.0452
REGION1,DEMRESNGS,2034,122.3979
REGION1,DEMRESNGS,2035,104.303
REGION1,DEMRESNGS,2036,88.5042
REGION1,DEMRESNGS,2037,74.716
REGION1,DEMRESNGS,2038,62.6886
REGION1,DEMRESNGS,2039,52.2438
REGION1,DEMRESNGS,2040,43.18
REGION1,DEMRESNGS,2041,35.3324
REGION1,DEMRESNGS,2042,28.5448
REGION1,DEMRESNGS,2043,22.7083
REGION1,DEMRESNGS,2044,17.6972
REGION1,DEMRESNGS,2045,13.4019
REGION1,DEMRESNGS,2046,9.7482
REGION1,DEMRESNGS,2047,6.6481
REGION1,DEMRESNGS,2048,4.031
REGION1,DEMRESNGS,2049,1.8297
REGION1,DEMTRADSL,2020,295.9188
REGION1,DEMTRADSL,2021,265.6683
REGION1,DEMTRADSL,2022,264.1717
REGION1,DEMTRADSL,2023,308.0753
REGION1,DEMTRADSL,2024,341.2814
REGION1,DEMTRADSL,2025,366.7014
REGION1,DEMTRADSL,2026,370.5466
REGION1,DEMTRADSL,2027,366.8729
REGION1,DEMTRADSL,2028,357.2872
REGION1,DEMTRADSL,2029,343.2456
REGION1,DEMTRADSL,2030,325.9689
REGION1,DEMTRADSL,2031,281.5047
REGION1,DEMTRADSL,2032,242.467
REGION1,DEMTRADSL,2033,208.1678
REGION1,DEMTRADSL,2034,178.101
REGION1,DEMTRADSL,2035,151.8075
REGION1,DEMTRADSL,2036,128.7982
REGION1,DEMTRADSL,2037,108.7178
REGION1,DEMTRADSL,2038,91.2442
REGION1,DEMTRADSL,2039,76.0307
REGION1,DEMTRADSL,2040,62.8291
REGION1,DEMTRADSL,2041,51.4148
REGION1,DEMTRADSL,2042,41.5427
REGION1,DEMTRADSL,2043,33.0406
REGION1,DEMTRADSL,2044,25.7525
REGION1,DEMTRADSL,2045,19.506
REGION1,DEMTRADSL,2046,14.1919
REGION1,DEMTRADSL,2047,9.6741
REGION1,DEMTRADSL,2048,5.8605
REGION1,DEMTRADSL,2049,2.6674
REGION1,DEMTRAGSL,2020,440.177
REGION1,DEMTRAGSL,2021,393.1519
REGION1,DEMTRAGSL,2022,390.0434
REGION1,DEMTRAGSL,2023,452.1269
REGION1,DEMTRAGSL,2024,496.7234
REGION1,DEMTRAGSL,2025,526.9557
REGION1,DEMTRAGSL,2026,532.5042
REGION1,DEMTRAGSL,2027,527.1882
REGION1,DEMTRAGSL,2028,513.4373
REGION1,DEMTRAGSL,2029,493.2836
REGION1,DEMTRAGSL,2030,468.4182
REGION1,DEMTRAGSL,2031,404.5449
REGION1,DEMTRAGSL,2032,348.4137
REGION1,DEMTRAGSL,2033,299.1448
REGION1,DEMTRAGSL,2034,255.9544
REGION1,DEMTRAGSL,2035,218.1446
REGION1,DEMTRAGSL,2036,185.094
REGION1,DEMTRAGSL,2037,156.2497
REGION1,DEMTRAGSL,2038,131.1006
REGION1,DEMTRAGSL,2039,109.2505
REGION1,DEMTRAGSL,2040,90.2897
REGION1,DEMTRAGSL,2041,73.8734
REGION1,DEMTRAGSL,2042,59.6957
REGION1,DEMTRAGSL,2043,47.4852
REGION1,DEMTRAGSL,2044,37.0014
REGION1,DEMTRAGSL,2045,28.0314
REGION1,DEMTRAGSL,2046,20.3865
REGION1,DEMTRAGSL,2047,13.8999
REGION1,DEMTRAGSL,2048,8.4242
REGION1,DEMTRAGSL,2049,3.8292
REGION1,DEMTRAHFO,2020,32.6568
REGION1,DEMTRAHFO,2021,29.0215
REGION1,DEMTRAHFO,2022,28.6133
REGION1,DEMTRAHFO,2023,33.0201
REGION1,DEMTRAHFO,2024,36.1666
REGION1,DEMTRAHFO,2025,38.4028
REGION1,DEMTRAHFO,2026,39.8338
REGION1,DEMTRAHFO,2027,40.6281
REGION1,DEMTRAHFO,2028,40.7904
REGION1,DEMTRAHFO,2029,40.4305
REGION1,DEMTRAHFO,2030,39.7335
REGION1,DEMTRAHFO,2031,35.636
REGION1,DEMTRAHFO,2032,32.0654
REGION1,DEMTRAHFO,2033,28.7492
REGION1,DEMTRAHFO,2034,25.8014
REGION1,DEMTRAHFO,2035,23.1519
REGION1,DEMTRAHFO,2036,20.8211
REGION1,DEMTRAHFO,2037,18.7228
REGION1,DEMTRAHFO,2038,16.8547
REGION1,DEMTRAHFO,2039,15.2092
REGION1,DEMTRAHFO,2040,13.7408
REGION1,DEMTRAHFO,2041,12.1626
REGION1,DEMTRAHFO,2042,10.908
REGION1,DEMTRAHFO,2043,9.7798
REGION1,DEMTRAHFO,2044,8.7665
REGION1,DEMTRAHFO,2045,7.8577
REGION1,DEMTRAHFO,2046,7.0407
REGION1,DEMTRAHFO,2047,6.3082
REGION1,DEMTRAHFO,2048,5.6499
REGION1,DEMTRAHFO,2049,5.0599
REGION1,DEMTRAHFO,2050,4.5298
REGION1,DEMTRANGS,2020,3.8847
REGION1,DEMTRANGS,2021,4.0024
REGION1,DEMTRANGS,2022,5.1526
REGION1,DEMTRANGS,2023,6.6984
REGION1,DEMTRANGS,2024,8.3071
REGION1,DEMTRANGS,2025,10.0429
REGION1,DEMTRANGS,2026,11.8222
REGION1,DEMTRANGS,2027,13.6281
REGION1,DEMTRANGS,2028,16.1625
REGION1,DEMTRANGS,2029,17.5915
REGION1,DEMTRANGS,2030,18.9859
REGION1,DEMTRANGS,2031,18.603
REGION1,DEMTRANGS,2032,19.7434
REGION1,DEMTRANGS,2033,19.0821
REGION1,DEMTRANGS,2034,18.3994
REGION1,DEMTRANGS,2035,17.7221
REGION1,DEMTRANGS,2036,18.0096
REGION1,DEMTRANGS,2037,17.3079
REGION1,DEMTRANGS,2038,16.6436
REGION1,DEMTRANGS,2039,16.0504
REGION1,DEMTRANGS,2040,15.5002
REGION1,DEMTRANGS,2041,14.5505
REGION1,DEMTRANGS,2042,13.8617
REGION1,DEMTRANGS,2043,13.1788
REGION1,DEMTRANGS,2044,12.5056
REGION1,DEMTRANGS,2045,11.845
REGION1,DEMTRANGS,2046,11.2019
REGION1,DEMTRANGS,2047,10.5772
REGION1,DEMTRANGS,2048,9.9741
REGION1,DEMTRANGS,2049,9.3927
REGION1,DEMTRANGS,2050,8.835
