time,Stewart Creek Wind Project,Taylor Wind Project,Highland Valley Wind Project,Mount Mabel Wind Project,Boulder and Elkhart Wind Project,Nilhts'i Ecoener Project (Formerly Hixon Wind Power Project),Brewster Wind Project,K2 Wind Project,Nithi Mountain Wind Project
2023-02-06 01:00:00,0.4656114959716796,0.4835383152961731,0.0205712071061134,0.1105973935127258,0.1864986380934715,0.1815803548693657,0.0040151530504226,0.1864986380934715,0.2247819355130195
2023-02-06 02:00:00,0.4828284239768982,0.4551615905761719,0.0272626501321792,0.1285794633626937,0.1997558739781379,0.2630997130274772,0.0050004117935895,0.1997558739781379,0.2123162999749183
2023-02-06 03:00:00,0.6549087619781493,0.5907086586952208,0.0145363652706146,0.1410249328613281,0.2738307061791419,0.3004629138112067,0.0061777157336473,0.2738307061791419,0.1800110444426536
2023-02-06 04:00:00,0.7279320231080054,0.6987049794197081,0.0264739283919334,0.1868327841162681,0.368946075439453,0.4649531555175781,0.0116739895939826,0.368946075439453,0.2476335108280181
2023-02-06 05:00:00,0.7135113409161566,0.7392592912912368,0.0263849952816963,0.1958464577794074,0.3902495574951171,0.5668271636962889,0.0094142934679985,0.3902495574951171,0.2756730231642723
2023-02-06 06:00:00,0.6674099853634833,0.7354615470767021,0.0378985315561294,0.2153401616215705,0.4159850311279296,0.6737415096163748,0.0116514581441879,0.4159850311279296,0.2488554334640502
2023-02-06 07:00:00,0.6228012895584105,0.695261882841587,0.051617624014616,0.2254193553328513,0.4117436981201171,0.6942064514756203,0.0169260817766189,0.4117436981201171,0.2595929262042045
2023-02-06 08:00:00,0.6306708908081053,0.6916838428378104,0.0730521087348461,0.252990322113037,0.4506984710693359,0.716222267448902,0.0223208126425743,0.4506984710693359,0.2975630620121955
2023-02-06 09:00:00,0.6841798534989356,0.7373645862936973,0.0803853407502174,0.2685523501038551,0.4803296780586242,0.7616240805387496,0.0224635463953018,0.4803296780586242,0.2980995944142341
2023-02-06 10:00:00,0.7234281754493712,0.775104591846466,0.07364820048213,0.2353366920351982,0.4282815551757812,0.7729655346274376,0.0277587655186653,0.4282815551757812,0.2881384861469268
2023-02-06 11:00:00,0.8633437368273734,0.845779149532318,0.0480018255114555,0.2351559689640998,0.3725971984863281,0.7874255827069283,0.0262455716729164,0.3725971984863281,0.2483407005667686
2023-02-06 12:00:00,0.9911625558137892,0.9748353487253189,0.0358320078253746,0.1748735493421554,0.514792845249176,0.7622466644644736,0.0376930001378059,0.514792845249176,0.1956723493337631
2023-02-06 13:00:00,0.997894730567932,0.9970117795467376,0.0501479151844978,0.2512174299359321,0.8504712456464767,0.7612563109397888,0.0474794767796993,0.8504712456464767,0.2101935803890228
2023-02-06 14:00:00,0.8689566367864608,0.980174913406372,0.1011443269252777,0.3368435668945312,0.8257027021050453,0.8168969786167145,0.0411561194062233,0.8257027021050453,0.176573023200035
2023-02-06 15:00:00,0.8570864534378051,0.969238188266754,0.1145900791883468,0.3382384490966796,0.5590739703178405,0.8989636084437369,0.0426483029127121,0.5590739703178405,0.1979687172174453
2023-02-06 16:00:00,0.9991226422786712,0.9960772424936296,0.1837165376543998,0.4335005950927734,0.5274818396568298,0.974469717144966,0.0842675077915191,0.5274818396568298,0.7991660153865814
2023-02-06 17:00:00,0.9804706287384032,0.9833009600639344,0.2653621450066566,0.4629670715332031,0.4257558441162109,0.9871577835083007,0.0809050141274929,0.4257558441162109,0.9394538810849188
2023-02-06 18:00:00,0.8856203779578209,0.9342226874828338,0.2800994154810905,0.5140125012397766,0.4776683902740478,1.0,0.0662948463857174,0.4776683902740478,0.8448202228546142
2023-02-06 19:00:00,0.7922564154863356,0.8664099359512328,0.2600447338819504,0.5223241305351257,0.5159765934944153,1.0,0.0568754070997238,0.5159765934944153,0.6390599465370177
2023-02-06 20:00:00,0.8065123638510704,0.8755849903821945,0.2579277661442756,0.5275276160240173,0.4937380409240722,0.9889152348041534,0.0457545562088489,0.4937380409240722,0.4563460540771484
2023-02-06 21:00:00,0.8455286622047424,0.9096985918283462,0.2560116529464721,0.5668125009536742,0.5512120580673218,0.9289305451512336,0.0365099996328353,0.5512120580673218,0.3236550140380859
2023-02-06 22:00:00,0.7872713109850883,0.8668300041556358,0.206875971853733,0.5669603800773619,0.6415860509872435,0.7344711935520173,0.0295841068029403,0.6415860509872435,0.2919743937253951
2023-02-06 23:00:00,0.798712066411972,0.8661222818493842,0.1550026807188987,0.4785157895088195,0.6423152542114257,0.5350655174255371,0.0173433154821395,0.6423152542114257,0.2541534608602523
2023-02-07 00:00:00,0.8344146212935447,0.8894677963852882,0.1405078721046447,0.4105102539062499,0.5767685031890868,0.4191175842285156,0.0064289498329162,0.5767685031890868,0.2047771224379539
2023-02-07 01:00:00,0.7890693745017051,0.8654539969563484,0.1413952127099037,0.4020776367187499,0.5669979310035704,0.2979335385560989,0.0060538594424724,0.5669979310035704,0.1456636178493499
2023-02-07 02:00:00,0.7051767668128013,0.7818719780445098,0.1416672983765602,0.4100962829589843,0.5728666043281554,0.1966537871956825,0.0066058088093996,0.5728666043281554,0.1008818291127681
2023-02-07 03:00:00,0.5951014018058776,0.656337842941284,0.1501854088902473,0.4093447113037109,0.4375760650634765,0.0872627663612365,0.0067806731164455,0.4375760650634765,0.0411633533239364
2023-02-07 04:00:00,0.5849708771705626,0.6244976973533629,0.2059893244504928,0.4996671533584594,0.5276331162452698,0.0522220264375209,0.0138897895812988,0.5276331162452698,0.0216477558016777
2023-02-07 05:00:00,0.5587040042877196,0.5990338778495787,0.1630752223730087,0.4678077697753906,0.5640321230888365,0.0385483655333519,0.0209169831871986,0.5640321230888365,0.0045570742338895
2023-02-07 06:00:00,0.4799361085891723,0.5144482707977295,0.1269627910852432,0.4081398773193359,0.5472684955596924,0.0539893826842308,0.0152730667591094,0.5472684955596924,0.0
2023-02-07 07:00:00,0.4385308074951172,0.4610535430908203,0.1031855905055999,0.3374413299560546,0.4908083534240722,0.0644076399505138,0.0072804260253906,0.4908083534240722,0.0
2023-02-07 08:00:00,0.4143103790283203,0.4285307312011718,0.0911624939739704,0.268193837404251,0.3902681732177734,0.0637241438031196,0.0067769785225391,0.3902681732177734,0.0
2023-02-07 09:00:00,0.4098208618164062,0.4089859771728515,0.108547196984291,0.244521013200283,0.3381316375732421,0.0433601740002632,0.0067716782540082,0.3381316375732421,0.0
2023-02-07 10:00:00,0.3621825408935546,0.3507894134521484,0.0926096045970916,0.190969523191452,0.2572749888896942,0.0350519114732742,0.0039769852906465,0.2572749888896942,0.0025653265416622
2023-02-07 11:00:00,0.2425678005814552,0.2427938482165336,0.0606357316672802,0.1208017900586128,0.1717504027485847,0.0058654437214136,0.0120534202456474,0.1717504027485847,0.0137986093759536
2023-02-07 12:00:00,0.1899404600262641,0.185591250360012,0.0811028765141964,0.2874203678965568,0.3071149262785911,0.0,0.0110217356681823,0.3071149262785911,0.0278323405981063
2023-02-07 13:00:00,0.0585691626369953,0.0572579543292522,0.1025135961174964,0.2586019402742385,0.4330355834960937,0.0,0.0361856746673584,0.4330355834960937,0.0067756093293428
2023-02-07 14:00:00,0.0283353182673454,0.0183481559157371,0.1185356071591377,0.2461125496029853,0.4881595826148986,0.00270351909101,0.065457147359848,0.4881595826148986,0.0010767787694931
2023-02-07 15:00:00,0.0083912947773933,0.0058242154121398,0.1386619439721107,0.420073013305664,0.3398362731933593,0.0411013075709342,0.0834778228402137,0.3398362731933593,0.0
2023-02-07 16:00:00,0.0031679257750511,0.0029826168715953,0.1323985841870307,0.3886275482177734,0.4671216583251953,0.023361390531063,0.0530366434156894,0.4671216583251953,0.0049888927489519
2023-02-07 17:00:00,0.0042753511667251,0.0049544212967157,0.0989514185488223,0.3405064392089843,0.3934764862060547,0.1034451824426651,0.0403328961133956,0.3934764862060547,0.0066615515947341
2023-02-07 18:00:00,0.0079449352622032,0.0098706352710723,0.1059381306171417,0.3776301574707031,0.4315132141113281,0.1638285207748412,0.0064135631173849,0.4315132141113281,0.0001747820526361
2023-02-07 19:00:00,0.0069583015143871,0.0073358082771301,0.1100189664959907,0.4487117767333984,0.6060782527923583,0.2261163067817687,0.0107806915044784,0.6060782527923583,0.0
2023-02-07 20:00:00,0.0,0.0001747066527605,0.0938108387589454,0.447648468017578,0.6561812019348143,0.1647949883341789,0.0029838421195745,0.6561812019348143,0.0040965386480093
2023-02-07 21:00:00,0.0028208070248365,0.0,0.0582788866758346,0.3846203613281249,0.6498418903350829,0.0971229276061058,0.0018511509150266,0.6498418903350829,0.0755081410706043
2023-02-07 22:00:00,0.0778954111039638,0.0431622567772865,0.031491510272026,0.2967004573345184,0.6404924249649047,0.0981325608491897,0.0020880967378616,0.6404924249649047,0.1955473616719245
2023-02-07 23:00:00,0.0597793620824813,0.0412853878736496,0.0264518463611602,0.2421572336554527,0.5922452068328856,0.1230038711428642,0.002755993977189,0.5922452068328856,0.2528120723366737
2023-02-08 00:00:00,0.0283134263753891,0.0177348458766937,0.0229521512985229,0.1910696053504943,0.546835765838623,0.141450046300888,0.0040859775245189,0.546835765838623,0.2470923194289207
2023-02-08 01:00:00,0.0300731265544891,0.0071323741227388,0.017131535410881,0.1426913350820541,0.4484449005126952,0.1451077285408973,0.0042565097659826,0.4484449005126952,0.1958411085605621
