REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,188,2021,0.0001509805262110514
REGION1,COMELCB02,189,2021,0.00014671653208175682
REGION1,COMELCB02,190,2021,0.0001402965858646167
REGION1,COMELCB02,191,2021,0.00013263097844116583
REGION1,COMELCB02,192,2021,0.00012617909219309468
REGION1,COMELCB02,193,2021,0.00012086107704307562
REGION1,COMELCB02,194,2021,0.0001187370649861611
REGION1,COMELCB02,195,2021,0.00011741155370252272
REGION1,COMELCB02,196,2021,0.0001175393138262469
REGION1,COMELCB02,197,2021,0.00012022227642445471
REGION1,COMELCB02,198,2021,0.00012627491228588781
REGION1,COMELCB02,199,2021,0.0001381725738077022
REGION1,COMELCB02,200,2021,0.0001512839565048963
REGION1,COMELCB02,201,2021,0.0001530246881906383
REGION1,COMELCB02,202,2021,0.00015125201647396528
REGION1,COMELCB02,203,2021,0.000148249653566447
REGION1,COMELCB02,204,2021,0.00014594997133941174
REGION1,COMELCB02,205,2021,0.00014353849900411783
REGION1,COMELCB02,206,2021,0.00014194149745756557
REGION1,COMELCB02,207,2021,0.00014176582728744482
REGION1,COMELCB02,208,2021,0.00014400162945261798
REGION1,COMELCB02,209,2021,0.00015158738679874124
REGION1,COMELCB02,210,2021,0.00015877389375822646
REGION1,COMELCB02,211,2021,0.00015740047242819151
REGION1,COMELCB02,212,2021,0.0001543661694897422
REGION1,COMELCB02,213,2021,0.00015067709591720646
REGION1,COMELCB02,214,2021,0.0001440814795299456
REGION1,COMELCB02,215,2021,0.00013502648076099422
REGION1,COMELCB02,216,2021,0.00012712132310556051
REGION1,COMELCB02,217,2021,0.00012126032742971369
REGION1,COMELCB02,218,2021,0.00012004660625433396
REGION1,COMELCB02,219,2021,0.00011932795555838545
REGION1,COMELCB02,220,2021,0.00012012645633166158
REGION1,COMELCB02,221,2021,0.00012264971877521416
REGION1,COMELCB02,222,2021,0.00012865444459025067
REGION1,COMELCB02,223,2021,0.00014021673578728912
REGION1,COMELCB02,224,2021,0.0001521782773709656
REGION1,COMELCB02,225,2021,0.0001550848201856907
REGION1,COMELCB02,226,2021,0.0001543661694897422
REGION1,COMELCB02,227,2021,0.00015530840040220802
REGION1,COMELCB02,228,2021,0.00015371139885565576
REGION1,COMELCB02,229,2021,0.00015321632837622456
REGION1,COMELCB02,230,2021,0.0001507729160099996
REGION1,COMELCB02,231,2021,0.0001493036745871715
REGION1,COMELCB02,232,2021,0.0001501341153913787
REGION1,COMELCB02,233,2021,0.00015773584275296748
REGION1,COMELCB02,234,2021,0.00016104163595433068
REGION1,COMELCB02,235,2021,0.00015762405264470883
REGION1,COMELCB02,236,2021,0.00015320035836075905
REGION1,COMELCB02,237,2021,0.00014850517381389538
REGION1,COMELCB02,238,2021,0.00014226089776687601
REGION1,COMELCB02,239,2021,0.0001338766396474766
REGION1,COMELCB02,240,2021,0.00012697759296637082
REGION1,COMELCB02,241,2021,0.00012202688817205878
REGION1,COMELCB02,242,2021,0.00011928004551198887
REGION1,COMELCB02,243,2021,0.00011714006343960884
REGION1,COMELCB02,244,2021,0.00011721991351693644
REGION1,COMELCB02,245,2021,0.00011805035432114363
REGION1,COMELCB02,246,2021,0.0001199348161460753
REGION1,COMELCB02,247,2021,0.00012435851043002507
REGION1,COMELCB02,248,2021,0.0001307145765853031
REGION1,COMELCB02,249,2021,0.0001369109425859259
REGION1,COMELCB02,250,2021,0.00014060001615846164
REGION1,COMELCB02,251,2021,0.00014122284676161703
REGION1,COMELCB02,252,2021,0.00014058404614299613
REGION1,COMELCB02,253,2021,0.0001393064449057543
REGION1,COMELCB02,254,2021,0.00013871555433352998
REGION1,COMELCB02,255,2021,0.00013850794413247818
REGION1,COMELCB02,256,2021,0.00014109508663789284
REGION1,COMELCB02,257,2021,0.0001481698034891194
REGION1,COMELCB02,258,2021,0.0001511242563502411
REGION1,COMELCB02,259,2021,0.00014759488293236058
REGION1,COMELCB02,260,2021,0.00014297954846282453
REGION1,COMELCB02,261,2021,0.00013911480472016805
REGION1,COMELCB02,262,2021,0.0001342918600495802
REGION1,COMELCB02,263,2021,0.00012886205479130248
REGION1,COMELCB02,264,2021,0.00012220255834217953
REGION1,COMELCB02,265,2021,0.00011744349373345377
REGION1,COMELCB02,266,2021,0.00011554306189305657
REGION1,COMELCB02,267,2021,0.00011412173051662504
REGION1,COMELCB02,268,2021,0.00011364263005265937
REGION1,COMELCB02,269,2021,0.00011468068105791835
REGION1,COMELCB02,270,2021,0.00011745946374891929
REGION1,COMELCB02,271,2021,0.0001224101685432313
REGION1,COMELCB02,272,2021,0.00012863847457478516
REGION1,COMELCB02,273,2021,0.00013497857071459766
REGION1,COMELCB02,274,2021,0.0001397216653078579
REGION1,COMELCB02,275,2021,0.00014206925758128972
REGION1,COMELCB02,276,2021,0.00014396968942168692
REGION1,COMELCB02,277,2021,0.0001448001302258941
REGION1,COMELCB02,278,2021,0.00014448072991658366
REGION1,COMELCB02,279,2021,0.00014425714970006635
REGION1,COMELCB02,280,2021,0.00014625340163325668
REGION1,COMELCB02,281,2021,0.0001544460195670698
REGION1,COMELCB02,282,2021,0.000161632526526555
REGION1,COMELCB02,283,2021,0.00015968418463976124
REGION1,COMELCB02,284,2021,0.00015706510210341553
REGION1,COMELCB02,285,2021,0.00015364751879379368
REGION1,COMELCB02,286,2021,0.00014805801338086075
REGION1,COMELCB02,287,2021,0.00014072777628218583
REGION1,COMELCB02,288,2021,0.00013386066963201108
REGION1,COMELCB02,289,2021,0.0001296605555645786
REGION1,COMELCB02,290,2021,0.0001288141447449059
REGION1,COMELCB02,291,2021,0.00012876623469850935
REGION1,COMELCB02,292,2021,0.00012857459451292308
REGION1,COMELCB02,293,2021,0.0001311936770492688
REGION1,COMELCB02,294,2021,0.00013759765325094337
REGION1,COMELCB02,295,2021,0.0001497827750511372
REGION1,COMELCB02,296,2021,0.0001619838668667965
REGION1,COMELCB02,297,2021,0.00016560906037747016
REGION1,COMELCB02,298,2021,0.0001667748715064533
REGION1,COMELCB02,299,2021,0.00016770113240345362
REGION1,COMELCB02,300,2021,0.0001676691923725226
REGION1,COMELCB02,301,2021,0.00016755740226426393
REGION1,COMELCB02,302,2021,0.0001667589014909878
REGION1,COMELCB02,303,2021,0.00016664711138272912
REGION1,COMELCB02,304,2021,0.00016758934229519498
REGION1,COMELCB02,305,2021,0.00017399331849686956
REGION1,COMELCB02,306,2021,0.00018015774446656133
REGION1,COMELCB02,307,2021,0.00017803373240964681
REGION1,COMELCB02,308,2021,0.00017474390922374912
REGION1,COMELCB02,309,2021,0.00016968141432117844
REGION1,COMELCB02,310,2021,0.00016412384893917654
REGION1,COMELCB02,311,2021,0.00015490915001556996
REGION1,COMELCB02,312,2021,0.00014686026222094655
REGION1,COMELCB02,313,2021,0.00014259626809165197
REGION1,COMELCB02,314,2021,0.00014039240595740987
REGION1,COMELCB02,315,2021,0.00013962584521506476
REGION1,COMELCB02,316,2021,0.00014002509560170283
REGION1,COMELCB02,317,2021,0.00014160612713278958
REGION1,COMELCB02,318,2021,0.00014708384243746386
REGION1,COMELCB02,319,2021,0.00015891762389741616
REGION1,COMELCB02,320,2021,0.00017024036486247175
REGION1,COMELCB02,321,2021,0.00017314690767719686
REGION1,COMELCB02,322,2021,0.00017308302761533478
REGION1,COMELCB02,323,2021,0.0001723324368884552
REGION1,COMELCB02,324,2021,0.00017214079670286892
REGION1,COMELCB02,325,2021,0.00017102289562028234
REGION1,COMELCB02,326,2021,0.00016955365419745426
REGION1,COMELCB02,327,2021,0.00016744561215600526
REGION1,COMELCB02,328,2021,0.00016988902452223025
REGION1,COMELCB02,329,2021,0.00017686792128066364
REGION1,COMELCB02,330,2021,0.0001843099484875972
REGION1,COMELCB02,331,2021,0.00018199429624509643
REGION1,COMELCB02,332,2021,0.00017779418217766396
REGION1,COMELCB02,333,2021,0.00017255601710497253
REGION1,COMELCB02,334,2021,0.00016560906037747016
REGION1,COMELCB02,335,2021,0.00015625063131467388
REGION1,COMELCB02,336,2021,0.00014879263409227478
REGION1,COMELCB02,337,2021,0.00014345864892679021
REGION1,COMELCB02,338,2021,0.00014186164738023795
REGION1,COMELCB02,339,2021,0.00014144642697813434
REGION1,COMELCB02,340,2021,0.00014179776731837584
REGION1,COMELCB02,341,2021,0.00014321909869480736
REGION1,COMELCB02,342,2021,0.00014914397443251628
REGION1,COMELCB02,343,2021,0.0001586621036499678
REGION1,COMELCB02,344,2021,0.00016754143224879841
REGION1,COMELCB02,345,2021,0.0001719810965482137
REGION1,COMELCB02,346,2021,0.0001735301880483694
REGION1,COMELCB02,347,2021,0.00017372182823395567
REGION1,COMELCB02,348,2021,0.0001735301880483694
REGION1,COMELCB02,349,2021,0.00017314690767719686
REGION1,COMELCB02,350,2021,0.0001723324368884552
REGION1,COMELCB02,351,2021,0.00017139020597598938
REGION1,COMELCB02,352,2021,0.0001719172164863516
REGION1,COMELCB02,353,2021,0.00017693180134252575
REGION1,COMELCB02,354,2021,0.0001814832557501997
REGION1,COMELCB02,355,2021,0.00017849686285814696
REGION1,COMELCB02,356,2021,0.00017397734848140404
REGION1,COMELCB02,357,2021,0.00016877112343964364
REGION1,COMELCB02,358,2021,0.00016059447552129605
REGION1,COMELCB02,359,2021,0.00015038963563882704
REGION1,COMELCB02,360,2021,0.00014229283779780704
REGION1,COMELCB02,361,2021,0.00013651169219928785
REGION1,COMELCB02,362,2021,0.0001344355901887699
REGION1,COMELCB02,363,2021,0.00013291843871954525
REGION1,COMELCB02,364,2021,0.00013287052867314868
REGION1,COMELCB02,365,2021,0.00013486678060633901
REGION1,COMELCB02,366,2021,0.00014005703563263388
REGION1,COMELCB02,367,2021,0.00015019799545324078
REGION1,COMELCB02,368,2021,0.0001607701456914168
REGION1,COMELCB02,369,2021,0.0001629740078256589
REGION1,COMELCB02,370,2021,0.00016291012776379683
REGION1,COMELCB02,371,2021,0.0001624789373462277
REGION1,COMELCB02,372,2021,0.00016145685635643426
