REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,INFLOW01,2,2035,0.3474527380703203
REGION1,INFLOW01,3,2035,0.3466789229391492
REGION1,INFLOW01,4,2035,0.3431259222873303
REGION1,INFLOW01,5,2035,0.3426012314344719
REGION1,INFLOW01,6,2035,0.3412381195845609
REGION1,INFLOW01,7,2035,0.3407973915644017
REGION1,INFLOW01,8,2035,0.3384393371538855
REGION1,INFLOW01,9,2035,0.3356684813724622
REGION1,INFLOW01,10,2035,0.3321709210400696
REGION1,INFLOW01,11,2035,0.3349326162712744
REGION1,INFLOW01,12,2035,0.3341480790161827
REGION1,INFLOW01,13,2035,0.3534913537710646
REGION1,INFLOW01,14,2035,0.3531781579810054
REGION1,INFLOW01,15,2035,0.3348397015771438
REGION1,INFLOW01,16,2035,0.3408587238096153
REGION1,INFLOW01,17,2035,0.32342285095888
REGION1,INFLOW01,18,2035,0.278680506072704
REGION1,INFLOW01,19,2035,0.1830849507888691
REGION1,INFLOW01,20,2035,0.194332923945326
REGION1,INFLOW01,21,2035,0.2085560909332129
REGION1,INFLOW01,22,2035,0.2044990049841596
REGION1,INFLOW01,23,2035,0.1942865257507355
REGION1,INFLOW01,24,2035,0.1899025096021168
REGION1,INFLOW01,1,2036,0.3471608387302253
REGION1,INFLOW01,2,2036,0.3474527380703203
REGION1,INFLOW01,3,2036,0.3466789229391492
REGION1,INFLOW01,4,2036,0.3431259222873303
REGION1,INFLOW01,5,2036,0.3426012314344719
REGION1,INFLOW01,6,2036,0.3412381195845609
REGION1,INFLOW01,7,2036,0.3407973915644017
REGION1,INFLOW01,8,2036,0.3384393371538855
REGION1,INFLOW01,9,2036,0.3356684813724622
REGION1,INFLOW01,10,2036,0.3321709210400696
REGION1,INFLOW01,11,2036,0.3349326162712744
REGION1,INFLOW01,12,2036,0.3341480790161827
REGION1,INFLOW01,13,2036,0.3534913537710646
REGION1,INFLOW01,14,2036,0.3531781579810054
REGION1,INFLOW01,15,2036,0.3348397015771438
REGION1,INFLOW01,16,2036,0.3408587238096153
REGION1,INFLOW01,17,2036,0.32342285095888
REGION1,INFLOW01,18,2036,0.278680506072704
REGION1,INFLOW01,19,2036,0.1830849507888691
REGION1,INFLOW01,20,2036,0.194332923945326
REGION1,INFLOW01,21,2036,0.2085560909332129
REGION1,INFLOW01,22,2036,0.2044990049841596
REGION1,INFLOW01,23,2036,0.1942865257507355
REGION1,INFLOW01,24,2036,0.1899025096021168
REGION1,INFLOW01,1,2037,0.3471608387302253
REGION1,INFLOW01,2,2037,0.3474527380703203
REGION1,INFLOW01,3,2037,0.3466789229391492
REGION1,INFLOW01,4,2037,0.3431259222873303
REGION1,INFLOW01,5,2037,0.3426012314344719
REGION1,INFLOW01,6,2037,0.3412381195845609
REGION1,INFLOW01,7,2037,0.3407973915644017
REGION1,INFLOW01,8,2037,0.3384393371538855
REGION1,INFLOW01,9,2037,0.3356684813724622
REGION1,INFLOW01,10,2037,0.3321709210400696
REGION1,INFLOW01,11,2037,0.3349326162712744
REGION1,INFLOW01,12,2037,0.3341480790161827
REGION1,INFLOW01,13,2037,0.3534913537710646
REGION1,INFLOW01,14,2037,0.3531781579810054
REGION1,INFLOW01,15,2037,0.3348397015771438
REGION1,INFLOW01,16,2037,0.3408587238096153
REGION1,INFLOW01,17,2037,0.32342285095888
REGION1,INFLOW01,18,2037,0.278680506072704
REGION1,INFLOW01,19,2037,0.1830849507888691
REGION1,INFLOW01,20,2037,0.194332923945326
REGION1,INFLOW01,21,2037,0.2085560909332129
REGION1,INFLOW01,22,2037,0.2044990049841596
REGION1,INFLOW01,23,2037,0.1942865257507355
REGION1,INFLOW01,24,2037,0.1899025096021168
REGION1,INFLOW01,1,2038,0.3471608387302253
REGION1,INFLOW01,2,2038,0.3474527380703203
REGION1,INFLOW01,3,2038,0.3466789229391492
REGION1,INFLOW01,4,2038,0.3431259222873303
REGION1,INFLOW01,5,2038,0.3426012314344719
REGION1,INFLOW01,6,2038,0.3412381195845609
REGION1,INFLOW01,7,2038,0.3407973915644017
REGION1,INFLOW01,8,2038,0.3384393371538855
REGION1,INFLOW01,9,2038,0.3356684813724622
REGION1,INFLOW01,10,2038,0.3321709210400696
REGION1,INFLOW01,11,2038,0.3349326162712744
REGION1,INFLOW01,12,2038,0.3341480790161827
REGION1,INFLOW01,13,2038,0.3534913537710646
REGION1,INFLOW01,14,2038,0.3531781579810054
REGION1,INFLOW01,15,2038,0.3348397015771438
REGION1,INFLOW01,16,2038,0.3408587238096153
REGION1,INFLOW01,17,2038,0.32342285095888
REGION1,INFLOW01,18,2038,0.278680506072704
REGION1,INFLOW01,19,2038,0.1830849507888691
REGION1,INFLOW01,20,2038,0.194332923945326
REGION1,INFLOW01,21,2038,0.2085560909332129
REGION1,INFLOW01,22,2038,0.2044990049841596
REGION1,INFLOW01,23,2038,0.1942865257507355
REGION1,INFLOW01,24,2038,0.1899025096021168
REGION1,INFLOW01,1,2039,0.3471608387302253
REGION1,INFLOW01,2,2039,0.3474527380703203
REGION1,INFLOW01,3,2039,0.3466789229391492
REGION1,INFLOW01,4,2039,0.3431259222873303
REGION1,INFLOW01,5,2039,0.3426012314344719
REGION1,INFLOW01,6,2039,0.3412381195845609
REGION1,INFLOW01,7,2039,0.3407973915644017
REGION1,INFLOW01,8,2039,0.3384393371538855
REGION1,INFLOW01,9,2039,0.3356684813724622
REGION1,INFLOW01,10,2039,0.3321709210400696
REGION1,INFLOW01,11,2039,0.3349326162712744
REGION1,INFLOW01,12,2039,0.3341480790161827
REGION1,INFLOW01,13,2039,0.3534913537710646
REGION1,INFLOW01,14,2039,0.3531781579810054
REGION1,INFLOW01,15,2039,0.3348397015771438
REGION1,INFLOW01,16,2039,0.3408587238096153
REGION1,INFLOW01,17,2039,0.32342285095888
REGION1,INFLOW01,18,2039,0.278680506072704
REGION1,INFLOW01,19,2039,0.1830849507888691
REGION1,INFLOW01,20,2039,0.194332923945326
REGION1,INFLOW01,21,2039,0.2085560909332129
REGION1,INFLOW01,22,2039,0.2044990049841596
REGION1,INFLOW01,23,2039,0.1942865257507355
REGION1,INFLOW01,24,2039,0.1899025096021168
REGION1,INFLOW01,1,2040,0.3471608387302253
REGION1,INFLOW01,2,2040,0.3474527380703203
REGION1,INFLOW01,3,2040,0.3466789229391492
REGION1,INFLOW01,4,2040,0.3431259222873303
REGION1,INFLOW01,5,2040,0.3426012314344719
REGION1,INFLOW01,6,2040,0.3412381195845609
REGION1,INFLOW01,7,2040,0.3407973915644017
REGION1,INFLOW01,8,2040,0.3384393371538855
REGION1,INFLOW01,9,2040,0.3356684813724622
REGION1,INFLOW01,10,2040,0.3321709210400696
REGION1,INFLOW01,11,2040,0.3349326162712744
REGION1,INFLOW01,12,2040,0.3341480790161827
REGION1,INFLOW01,13,2040,0.3534913537710646
REGION1,INFLOW01,14,2040,0.3531781579810054
REGION1,INFLOW01,15,2040,0.3348397015771438
REGION1,INFLOW01,16,2040,0.3408587238096153
REGION1,INFLOW01,17,2040,0.32342285095888
