REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,COMELCB02,16,2029,0.0404263770032243
REGION1,COMELCB02,17,2029,0.0394962764851432
REGION1,COMELCB02,18,2029,0.0334487554458203
REGION1,COMELCB02,19,2029,0.0284446403424656
REGION1,COMELCB02,20,2029,0.0321974153913626
REGION1,COMELCB02,21,2029,0.0382885154375499
REGION1,COMELCB02,22,2029,0.0395236690037451
REGION1,COMELCB02,23,2029,0.0386981581021404
REGION1,COMELCB02,24,2029,0.033511011169921
REGION1,COMELCB02,25,2029,0.0256406425288857
REGION1,COMELCB02,26,2029,0.0299400228353959
REGION1,COMELCB02,27,2029,0.0353114467109621
REGION1,COMELCB02,28,2029,0.0376161536172407
REGION1,COMELCB02,29,2029,0.037522770031088
REGION1,COMELCB02,30,2029,0.0311851373174584
REGION1,COMELCB02,1,2030,0.0266728424345064
REGION1,COMELCB02,2,2030,0.0302400954255735
REGION1,COMELCB02,3,2030,0.0357509721231239
REGION1,COMELCB02,4,2030,0.0366424740922795
REGION1,COMELCB02,5,2030,0.0361606147877222
REGION1,COMELCB02,6,2030,0.0311564996843692
REGION1,COMELCB02,7,2030,0.0254725520738088
REGION1,COMELCB02,8,2030,0.0270837302135834
REGION1,COMELCB02,9,2030,0.0323742216478002
REGION1,COMELCB02,10,2030,0.033147437741155
REGION1,COMELCB02,11,2030,0.0335508548333451
REGION1,COMELCB02,12,2030,0.0300583087111922
REGION1,COMELCB02,13,2030,0.0292838475033683
REGION1,COMELCB02,14,2030,0.0326444114904097
REGION1,COMELCB02,15,2030,0.0385101458153579
REGION1,COMELCB02,16,2030,0.0404263770032243
REGION1,COMELCB02,17,2030,0.0394962764851432
REGION1,COMELCB02,18,2030,0.0334487554458203
REGION1,COMELCB02,19,2030,0.0284446403424656
REGION1,COMELCB02,20,2030,0.0321974153913626
REGION1,COMELCB02,21,2030,0.0382885154375499
REGION1,COMELCB02,22,2030,0.0395236690037451
REGION1,COMELCB02,23,2030,0.0386981581021404
REGION1,COMELCB02,24,2030,0.033511011169921
REGION1,COMELCB02,25,2030,0.0256406425288857
REGION1,COMELCB02,26,2030,0.0299400228353959
REGION1,COMELCB02,27,2030,0.0353114467109621
REGION1,COMELCB02,28,2030,0.0376161536172407
REGION1,COMELCB02,29,2030,0.037522770031088
REGION1,COMELCB02,30,2030,0.0311851373174584
REGION1,COMELCB02,1,2031,0.0266728424345064
REGION1,COMELCB02,2,2031,0.0302400954255735
REGION1,COMELCB02,3,2031,0.0357509721231239
REGION1,COMELCB02,4,2031,0.0366424740922795
REGION1,COMELCB02,5,2031,0.0361606147877222
REGION1,COMELCB02,6,2031,0.0311564996843692
REGION1,COMELCB02,7,2031,0.0254725520738088
REGION1,COMELCB02,8,2031,0.0270837302135834
REGION1,COMELCB02,9,2031,0.0323742216478002
REGION1,COMELCB02,10,2031,0.033147437741155
REGION1,COMELCB02,11,2031,0.0335508548333451
REGION1,COMELCB02,12,2031,0.0300583087111922
REGION1,COMELCB02,13,2031,0.0292838475033683
REGION1,COMELCB02,14,2031,0.0326444114904097
REGION1,COMELCB02,15,2031,0.0385101458153579
REGION1,COMELCB02,16,2031,0.0404263770032243
REGION1,COMELCB02,17,2031,0.0394962764851432
REGION1,COMELCB02,18,2031,0.0334487554458203
REGION1,COMELCB02,19,2031,0.0284446403424656
REGION1,COMELCB02,20,2031,0.0321974153913626
REGION1,COMELCB02,21,2031,0.0382885154375499
REGION1,COMELCB02,22,2031,0.0395236690037451
REGION1,COMELCB02,23,2031,0.0386981581021404
REGION1,COMELCB02,24,2031,0.033511011169921
REGION1,COMELCB02,25,2031,0.0256406425288857
REGION1,COMELCB02,26,2031,0.0299400228353959
REGION1,COMELCB02,27,2031,0.0353114467109621
REGION1,COMELCB02,28,2031,0.0376161536172407
REGION1,COMELCB02,29,2031,0.037522770031088
REGION1,COMELCB02,30,2031,0.0311851373174584
REGION1,COMELCB02,1,2032,0.0266728424345064
REGION1,COMELCB02,2,2032,0.0302400954255735
REGION1,COMELCB02,3,2032,0.0357509721231239
REGION1,COMELCB02,4,2032,0.0366424740922795
REGION1,COMELCB02,5,2032,0.0361606147877222
REGION1,COMELCB02,6,2032,0.0311564996843692
REGION1,COMELCB02,7,2032,0.0254725520738088
REGION1,COMELCB02,8,2032,0.0270837302135834
REGION1,COMELCB02,9,2032,0.0323742216478002
REGION1,COMELCB02,10,2032,0.033147437741155
REGION1,COMELCB02,11,2032,0.0335508548333451
REGION1,COMELCB02,12,2032,0.0300583087111922
REGION1,COMELCB02,13,2032,0.0292838475033683
REGION1,COMELCB02,14,2032,0.0326444114904097
REGION1,COMELCB02,15,2032,0.0385101458153579
REGION1,COMELCB02,16,2032,0.0404263770032243
REGION1,COMELCB02,17,2032,0.0394962764851432
REGION1,COMELCB02,18,2032,0.0334487554458203
REGION1,COMELCB02,19,2032,0.0284446403424656
REGION1,COMELCB02,20,2032,0.0321974153913626
REGION1,COMELCB02,21,2032,0.0382885154375499
REGION1,COMELCB02,22,2032,0.0395236690037451
REGION1,COMELCB02,23,2032,0.0386981581021404
REGION1,COMELCB02,24,2032,0.033511011169921
REGION1,COMELCB02,25,2032,0.0256406425288857
REGION1,COMELCB02,26,2032,0.0299400228353959
REGION1,COMELCB02,27,2032,0.0353114467109621
REGION1,COMELCB02,28,2032,0.0376161536172407
REGION1,COMELCB02,29,2032,0.037522770031088
REGION1,COMELCB02,30,2032,0.0311851373174584
REGION1,COMELCB02,1,2033,0.0266728424345064
REGION1,COMELCB02,2,2033,0.0302400954255735
REGION1,COMELCB02,3,2033,0.0357509721231239
REGION1,COMELCB02,4,2033,0.0366424740922795
REGION1,COMELCB02,5,2033,0.0361606147877222
REGION1,COMELCB02,6,2033,0.0311564996843692
REGION1,COMELCB02,7,2033,0.0254725520738088
REGION1,COMELCB02,8,2033,0.0270837302135834
REGION1,COMELCB02,9,2033,0.0323742216478002
REGION1,COMELCB02,10,2033,0.033147437741155
REGION1,COMELCB02,11,2033,0.0335508548333451
REGION1,COMELCB02,12,2033,0.0300583087111922
REGION1,COMELCB02,13,2033,0.0292838475033683
REGION1,COMELCB02,14,2033,0.0326444114904097
REGION1,COMELCB02,15,2033,0.0385101458153579
REGION1,COMELCB02,16,2033,0.0404263770032243
REGION1,COMELCB02,17,2033,0.0394962764851432
REGION1,COMELCB02,18,2033,0.0334487554458203
REGION1,COMELCB02,19,2033,0.0284446403424656
REGION1,COMELCB02,20,2033,0.0321974153913626
REGION1,COMELCB02,21,2033,0.0382885154375499
REGION1,COMELCB02,22,2033,0.0395236690037451
REGION1,COMELCB02,23,2033,0.0386981581021404
REGION1,COMELCB02,24,2033,0.033511011169921
REGION1,COMELCB02,25,2033,0.0256406425288857
REGION1,COMELCB02,26,2033,0.0299400228353959
REGION1,COMELCB02,27,2033,0.0353114467109621
REGION1,COMELCB02,28,2033,0.0376161536172407
REGION1,COMELCB02,29,2033,0.037522770031088
REGION1,COMELCB02,30,2033,0.0311851373174584
REGION1,COMELCB02,1,2034,0.0266728424345064
REGION1,COMELCB02,2,2034,0.0302400954255735
REGION1,COMELCB02,3,2034,0.0357509721231239
