r,t,y,TotalTechnologyAnnualActivity
REGION1,DEMPWRSOL,2034,0.0157
REGION1,DEMPWRSOL,2035,0.0157
REGION1,DEMPWRSOL,2036,0.0157
REGION1,DEMPWRSOL,2037,0.0157
REGION1,DEMPWRSOL,2038,4.8529
REGION1,DEMPWRSOL,2039,13.3559
REGION1,DEMPWRSOL,2040,13.3559
REGION1,DEMPWRSOL,2041,13.3403
REGION1,DEMPWRSOL,2042,13.3403
REGION1,DEMPWRSOL,2043,13.3403
REGION1,DEMPWRSOL,2044,13.3403
REGION1,DEMPWRSOL,2045,13.3403
REGION1,DEMPWRSOL,2046,13.3403
REGION1,DEMPWRSOL,2047,13.3403
REGION1,DEMPWRSOL,2048,13.3403
REGION1,DEMPWRSOL,2049,13.3403
REGION1,DEMPWRSOL,2050,13.3403
REGION1,DEMPWRSURBC1,2020,0.3768
REGION1,DEMPWRSURBC1,2021,0.3768
REGION1,DEMPWRSURBC1,2022,0.3768
REGION1,DEMPWRSURBC1,2023,0.3768
REGION1,DEMPWRSURBC1,2024,0.5175
REGION1,DEMPWRSURBC1,2025,0.3804
REGION1,DEMPWRSURBC1,2026,0.4005
REGION1,DEMPWRSURBC1,2027,0.4126
REGION1,DEMPWRSURBC1,2028,0.4237
REGION1,DEMPWRSURBC1,2029,0.4345
REGION1,DEMPWRSURBC1,2030,0.4493
REGION1,DEMPWRSURBC1,2031,0.4656
REGION1,DEMPWRSURBC1,2032,0.4814
REGION1,DEMPWRSURBC1,2033,0.4923
REGION1,DEMPWRSURBC1,2034,0.5019
REGION1,DEMPWRSURBC1,2035,0.5134
REGION1,DEMPWRSURBC1,2036,0.5236
REGION1,DEMPWRSURBC1,2037,0.5369
REGION1,DEMPWRSURBC1,2038,0.5479
REGION1,DEMPWRSURBC1,2039,0.6765
REGION1,DEMPWRSURBC1,2040,0.8758
REGION1,DEMPWRSURBC1,2041,1.095
REGION1,DEMPWRSURBC1,2042,1.296
REGION1,DEMPWRSURBC1,2043,1.5893
REGION1,DEMPWRSURBC1,2044,1.7899
REGION1,DEMPWRSURBC1,2045,2.001
REGION1,DEMPWRSURBC1,2046,2.1533
REGION1,DEMPWRSURBC1,2047,2.3054
REGION1,DEMPWRSURBC1,2048,2.4577
REGION1,DEMPWRSURBC1,2049,2.6101
REGION1,DEMPWRSURBC1,2050,2.7624
REGION1,DEMPWRURN,2039,10.209
REGION1,DEMPWRURN,2040,26.0265
REGION1,DEMPWRURN,2041,43.4256
REGION1,DEMPWRURN,2042,59.3763
REGION1,DEMPWRURN,2043,82.6519
REGION1,DEMPWRURN,2044,98.5693
REGION1,DEMPWRURN,2045,115.3251
REGION1,DEMPWRURN,2046,127.4164
REGION1,DEMPWRURN,2047,139.4825
REGION1,DEMPWRURN,2048,151.5739
REGION1,DEMPWRURN,2049,163.6652
REGION1,DEMPWRURN,2050,175.7565
REGION1,DEMPWRWND,2020,153.7001
REGION1,DEMPWRWND,2021,166.9698
REGION1,DEMPWRWND,2022,179.833
REGION1,DEMPWRWND,2023,193.768
REGION1,DEMPWRWND,2024,230.3478
REGION1,DEMPWRWND,2025,230.3478
REGION1,DEMPWRWND,2026,230.3478
REGION1,DEMPWRWND,2027,230.3478
REGION1,DEMPWRWND,2028,230.3478
REGION1,DEMPWRWND,2029,230.3478
REGION1,DEMPWRWND,2030,230.3478
REGION1,DEMPWRWND,2031,230.3478
REGION1,DEMPWRWND,2032,230.3478
REGION1,DEMPWRWND,2033,230.3478
REGION1,DEMPWRWND,2034,230.3478
REGION1,DEMPWRWND,2035,228.0368
REGION1,DEMPWRWND,2036,228.0368
REGION1,DEMPWRWND,2037,223.6749
REGION1,DEMPWRWND,2038,218.0469
REGION1,DEMPWRWND,2039,214.3002
REGION1,DEMPWRWND,2040,214.3002
REGION1,DEMPWRWND,2041,214.3002
REGION1,DEMPWRWND,2042,214.3002
REGION1,DEMPWRWND,2043,206.1696
REGION1,DEMPWRWND,2044,206.1696
REGION1,DEMPWRWND,2045,205.276
REGION1,DEMPWRWND,2046,205.276
REGION1,DEMPWRWND,2047,205.276
REGION1,DEMPWRWND,2048,205.276
REGION1,DEMPWRWND,2049,205.276
REGION1,DEMPWRWND,2050,205.276
REGION1,DEMRESBIO,2020,12.98
REGION1,DEMRESBIO,2021,13.23
REGION1,DEMRESBIO,2022,13.45
REGION1,DEMRESBIO,2023,13.72
REGION1,DEMRESBIO,2024,14.0
REGION1,DEMRESBIO,2025,14.26
REGION1,DEMRESBIO,2026,14.51
REGION1,DEMRESBIO,2027,14.72
REGION1,DEMRESBIO,2028,14.94
REGION1,DEMRESBIO,2029,15.14
REGION1,DEMRESBIO,2030,15.29
REGION1,DEMRESBIO,2031,15.44
REGION1,DEMRESBIO,2032,15.59
REGION1,DEMRESBIO,2033,15.7
REGION1,DEMRESBIO,2034,15.82
REGION1,DEMRESBIO,2035,15.91
REGION1,DEMRESBIO,2036,15.96
REGION1,DEMRESBIO,2037,15.99
REGION1,DEMRESBIO,2038,16.0
REGION1,DEMRESBIO,2039,15.98
REGION1,DEMRESBIO,2040,15.96
