REGION,TIMESLICE,FUEL,YEAR,VALUE
REGION1,2,RESELCB02,2021,8.27382948
REGION1,2,RESELCB02,2022,8.86041164
REGION1,2,RESELCB02,2023,9.2267108
REGION1,2,RESELCB02,2024,9.45077008
REGION1,2,RESELCB02,2025,9.67231184
REGION1,2,RESELCB02,2026,9.88378352
REGION1,2,RESELCB02,2027,10.09147892
REGION1,2,RESELCB02,2028,10.29162176
REGION1,2,RESELCB02,2029,10.48043576
REGION1,2,RESELCB02,2030,10.66673224
REGION1,2,RESELCB02,2031,10.87065136
REGION1,2,RESELCB02,2032,11.077088
REGION1,2,RESELCB02,2033,11.27723084
REGION1,2,RESELCB02,2034,11.4798912
REGION1,2,RESELCB02,2035,11.67751652
REGION1,2,RESELCB02,2036,11.86758928
REGION1,2,RESELCB02,2037,12.04759196
REGION1,2,RESELCB02,2038,12.21752456
REGION1,2,RESELCB02,2039,12.37486956
REGION1,2,RESELCB02,2040,12.52843828
REGION1,2,RESELCB02,2041,12.682007
REGION1,2,RESELCB02,2042,12.83179944
REGION1,2,RESELCB02,2043,12.98033312
REGION1,2,RESELCB02,2044,13.12634928
REGION1,2,RESELCB02,2045,13.27488296
REGION1,2,RESELCB02,2046,13.42341664
REGION1,2,RESELCB02,2047,13.57446784
REGION1,2,RESELCB02,2048,13.73055408
REGION1,2,RESELCB02,2049,13.8904166
REGION1,2,RESELCB02,2050,14.0540554
REGION1,2,TRAELCB02,2021,0.08433692
REGION1,2,TRAELCB02,2022,0.13342856
REGION1,2,TRAELCB02,2023,0.21902424
REGION1,2,TRAELCB02,2024,0.35748784
REGION1,2,TRAELCB02,2025,0.54504308
REGION1,2,TRAELCB02,2026,0.75147972
REGION1,2,TRAELCB02,2027,0.9566576
REGION1,2,TRAELCB02,2028,1.16057672
REGION1,2,TRAELCB02,2029,1.3657546
REGION1,2,TRAELCB02,2030,1.56589744
REGION1,2,TRAELCB02,2031,1.7496764
REGION1,2,TRAELCB02,2032,1.9447842
REGION1,2,TRAELCB02,2033,2.14492704
REGION1,2,TRAELCB02,2034,2.35010492
REGION1,2,TRAELCB02,2035,2.56031784
REGION1,2,TRAELCB02,2036,2.7566844
REGION1,2,TRAELCB02,2037,2.9392046
REGION1,2,TRAELCB02,2038,3.10661968
REGION1,2,TRAELCB02,2039,3.26144716
REGION1,2,TRAELCB02,2040,3.40746332
REGION1,2,TRAELCB02,2041,3.54466816
REGION1,2,TRAELCB02,2042,3.6755792
REGION1,2,TRAELCB02,2043,3.79893768
REGION1,2,TRAELCB02,2044,3.91851988
REGION1,2,TRAELCB02,2045,4.03306704
REGION1,2,TRAELCB02,2046,4.14509668
REGION1,2,TRAELCB02,2047,4.25586756
REGION1,2,TRAELCB02,2048,4.36412092
REGION1,2,TRAELCB02,2049,4.47237428
REGION1,2,TRAELCB02,2050,4.57685136
REGION1,3,COMELCB02,2021,5.45339308
REGION1,3,COMELCB02,2022,5.8667938
REGION1,3,COMELCB02,2023,6.11257184
REGION1,3,COMELCB02,2024,6.29150648
REGION1,3,COMELCB02,2025,6.46427096
REGION1,3,COMELCB02,2026,6.65143248
REGION1,3,COMELCB02,2027,6.84579252
REGION1,3,COMELCB02,2028,7.00210324
REGION1,3,COMELCB02,2029,7.13476168
REGION1,3,COMELCB02,2030,7.25919324
REGION1,3,COMELCB02,2031,7.39288004
REGION1,3,COMELCB02,2032,7.53376536
REGION1,3,COMELCB02,2033,7.66025364
REGION1,3,COMELCB02,2034,7.789827
REGION1,3,COMELCB02,2035,7.92042872
REGION1,3,COMELCB02,2036,8.05925732
REGION1,3,COMELCB02,2037,8.1960292
REGION1,3,COMELCB02,2038,8.32560256
REGION1,3,COMELCB02,2039,8.45209084
REGION1,3,COMELCB02,2040,8.56315372
REGION1,3,COMELCB02,2041,8.67318824
REGION1,3,COMELCB02,2042,8.77808096
REGION1,3,COMELCB02,2043,8.88194532
REGION1,3,COMELCB02,2044,8.98169624
REGION1,3,COMELCB02,2045,9.08761732
REGION1,3,COMELCB02,2046,9.203822
REGION1,3,COMELCB02,2047,9.3272252
REGION1,3,COMELCB02,2048,9.46399708
REGION1,3,COMELCB02,2049,9.6048824
REGION1,3,COMELCB02,2050,9.75810804
REGION1,3,INDELCB02,2021,9.12360992
REGION1,3,INDELCB02,2022,9.62853468
REGION1,3,INDELCB02,2023,10.25172084
REGION1,3,INDELCB02,2024,10.57976768
REGION1,3,INDELCB02,2025,10.90678616
REGION1,3,INDELCB02,2026,11.25128676
REGION1,3,INDELCB02,2027,11.43639156
REGION1,3,INDELCB02,2028,11.85390572
REGION1,3,INDELCB02,2029,12.55936068
REGION1,3,INDELCB02,2030,13.09822132
REGION1,3,INDELCB02,2031,13.41084276
REGION1,3,INDELCB02,2032,14.16154556
REGION1,3,INDELCB02,2033,14.89990804
REGION1,3,INDELCB02,2034,15.09426808
REGION1,3,INDELCB02,2035,15.26394748
REGION1,3,INDELCB02,2036,15.4202582
REGION1,3,INDELCB02,2037,15.56217188
REGION1,3,INDELCB02,2038,15.69894376
REGION1,3,INDELCB02,2039,15.84599924
REGION1,3,INDELCB02,2040,15.990998
REGION1,3,INDELCB02,2041,16.11851464
REGION1,3,INDELCB02,2042,16.24397456
REGION1,3,INDELCB02,2043,16.36429268
REGION1,3,INDELCB02,2044,16.48255408
REGION1,3,INDELCB02,2045,16.60390056
REGION1,3,INDELCB02,2046,16.72524704
REGION1,3,INDELCB02,2047,16.83013976
REGION1,3,INDELCB02,2048,16.92886232
REGION1,3,INDELCB02,2049,17.03272668
REGION1,3,INDELCB02,2050,17.13453432
REGION1,3,RESELCB02,2021,6.75941028
REGION1,3,RESELCB02,2022,7.23862604
REGION1,3,RESELCB02,2023,7.5378788
REGION1,3,RESELCB02,2024,7.72092688
REGION1,3,RESELCB02,2025,7.90191824
REGION1,3,RESELCB02,2026,8.07468272
REGION1,3,RESELCB02,2027,8.24436212
REGION1,3,RESELCB02,2028,8.40787136
REGION1,3,RESELCB02,2029,8.56212536
REGION1,3,RESELCB02,2030,8.71432264
REGION1,3,RESELCB02,2031,8.88091696
REGION1,3,RESELCB02,2032,9.049568
REGION1,3,RESELCB02,2033,9.21307724
REGION1,3,RESELCB02,2034,9.3786432
REGION1,3,RESELCB02,2035,9.54009572
REGION1,3,RESELCB02,2036,9.69537808
REGION1,3,RESELCB02,2037,9.84243356
REGION1,3,RESELCB02,2038,9.98126216
REGION1,3,RESELCB02,2039,10.10980716
REGION1,3,RESELCB02,2040,10.23526708
REGION1,3,RESELCB02,2041,10.360727
REGION1,3,RESELCB02,2042,10.48310184
REGION1,3,RESELCB02,2043,10.60444832
REGION1,3,RESELCB02,2044,10.72373808
REGION1,3,RESELCB02,2045,10.84508456
REGION1,3,RESELCB02,2046,10.96643104
REGION1,3,RESELCB02,2047,11.08983424
REGION1,3,RESELCB02,2048,11.21735088
REGION1,3,RESELCB02,2049,11.3479526
REGION1,3,RESELCB02,2050,11.4816394
REGION1,3,TRAELCB02,2021,0.06890012
REGION1,3,TRAELCB02,2022,0.10900616
REGION1,3,TRAELCB02,2023,0.17893464
REGION1,3,TRAELCB02,2024,0.29205424
REGION1,3,TRAELCB02,2025,0.44527988
REGION1,3,TRAELCB02,2026,0.61393092
REGION1,3,TRAELCB02,2027,0.7815536
REGION1,3,TRAELCB02,2028,0.94814792
REGION1,3,TRAELCB02,2029,1.1157706
REGION1,3,TRAELCB02,2030,1.27927984
REGION1,3,TRAELCB02,2031,1.4294204
REGION1,3,TRAELCB02,2032,1.5888162
REGION1,3,TRAELCB02,2033,1.75232544
REGION1,3,TRAELCB02,2034,1.91994812
REGION1,3,TRAELCB02,2035,2.09168424
REGION1,3,TRAELCB02,2036,2.2521084
REGION1,3,TRAELCB02,2037,2.4012206
REGION1,3,TRAELCB02,2038,2.53799248
REGION1,3,TRAELCB02,2039,2.66448076
REGION1,3,TRAELCB02,2040,2.78377052
REGION1,3,TRAELCB02,2041,2.89586176
REGION1,3,TRAELCB02,2042,3.0028112
REGION1,3,TRAELCB02,2043,3.10359048
REGION1,3,TRAELCB02,2044,3.20128468
REGION1,3,TRAELCB02,2045,3.29486544
REGION1,3,TRAELCB02,2046,3.38638948
REGION1,3,TRAELCB02,2047,3.47688516
REGION1,3,TRAELCB02,2048,3.56532412
REGION1,3,TRAELCB02,2049,3.65376308
REGION1,3,TRAELCB02,2050,3.73911696
REGION1,4,COMELCB02,2021,6.21272965
REGION1,4,COMELCB02,2022,6.68369275
REGION1,4,COMELCB02,2023,6.9636932
REGION1,4,COMELCB02,2024,7.1675429
REGION1,4,COMELCB02,2025,7.3643633
REGION1,4,COMELCB02,2026,7.5775854
REGION1,4,COMELCB02,2027,7.79900835
REGION1,4,COMELCB02,2028,7.97708395
REGION1,4,COMELCB02,2029,8.1282139
REGION1,4,COMELCB02,2030,8.26997145
REGION1,4,COMELCB02,2031,8.42227295
REGION1,4,COMELCB02,2032,8.5827753
REGION1,4,COMELCB02,2033,8.72687595
REGION1,4,COMELCB02,2034,8.87449125
REGION1,4,COMELCB02,2035,9.0232781
REGION1,4,COMELCB02,2036,9.18143735
REGION1,4,COMELCB02,2037,9.3372535
REGION1,4,COMELCB02,2038,9.4848688
REGION1,4,COMELCB02,2039,9.62896945
REGION1,4,COMELCB02,2040,9.75549685
REGION1,4,COMELCB02,2041,9.8808527
REGION1,4,COMELCB02,2042,10.0003508
REGION1,4,COMELCB02,2043,10.11867735
REGION1,4,COMELCB02,2044,10.2323177
REGION1,4,COMELCB02,2045,10.35298735
REGION1,4,COMELCB02,2046,10.4853725
REGION1,4,COMELCB02,2047,10.6259585
REGION1,4,COMELCB02,2048,10.78177465
REGION1,4,COMELCB02,2049,10.942277
REGION1,4,COMELCB02,2050,11.11683795
REGION1,4,INDELCB02,2021,10.3939916
REGION1,4,INDELCB02,2022,10.96922265
REGION1,4,INDELCB02,2023,11.67918195
REGION1,4,INDELCB02,2024,12.0529064
REGION1,4,INDELCB02,2025,12.4254593
REGION1,4,INDELCB02,2026,12.81792855
REGION1,4,INDELCB02,2027,13.02880755
REGION1,4,INDELCB02,2028,13.50445685
REGION1,4,INDELCB02,2029,14.30814015
