REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEMRESELCB02,RESELCB02,1,2021,1
REGION1,DEMRESELCB02,RESELCB02,1,2022,1
REGION1,DEMRESELCB02,RESELCB02,1,2023,1
REGION1,DEMRESELCB02,RESELCB02,1,2024,1
REGION1,DEMRESELCB02,RESELCB02,1,2025,1
REGION1,DEMRESELCB02,RESELCB02,1,2026,1
REGION1,DEMRESRPP,RESRPP,1,2021,1
REGION1,DEMRESRPP,RESRPP,1,2022,1
REGION1,DEMRESRPP,RESRPP,1,2023,1
REGION1,DEMRESRPP,RESRPP,1,2024,1
REGION1,DEMRESRPP,RESRPP,1,2025,1
REGION1,DEMRESRPP,RESRPP,1,2026,1
REGION1,DEMRESHDG,RESHDG,1,2021,1
REGION1,DEMRESHDG,RESHDG,1,2022,1
REGION1,DEMRESHDG,RESHDG,1,2023,1
REGION1,DEMRESHDG,RESHDG,1,2024,1
REGION1,DEMRESHDG,RESHDG,1,2025,1
REGION1,DEMRESHDG,RESHDG,1,2026,1
REGION1,DEMCOMBIO,COMBIO,1,2021,1
REGION1,DEMCOMBIO,COMBIO,1,2022,1
REGION1,DEMCOMBIO,COMBIO,1,2023,1
REGION1,DEMCOMBIO,COMBIO,1,2024,1
REGION1,DEMCOMBIO,COMBIO,1,2025,1
REGION1,DEMCOMBIO,COMBIO,1,2026,1
REGION1,DEMCOMNGS,COMNGS,1,2021,1
REGION1,DEMCOMNGS,COMNGS,1,2022,1
REGION1,DEMCOMNGS,COMNGS,1,2023,1
REGION1,DEMCOMNGS,COMNGS,1,2024,1
REGION1,DEMCOMNGS,COMNGS,1,2025,1
REGION1,DEMCOMNGS,COMNGS,1,2026,1
REGION1,DEMCOMELCB02,COMELCB02,1,2021,1
REGION1,DEMCOMELCB02,COMELCB02,1,2022,1
REGION1,DEMCOMELCB02,COMELCB02,1,2023,1
REGION1,DEMCOMELCB02,COMELCB02,1,2024,1
REGION1,DEMCOMELCB02,COMELCB02,1,2025,1
REGION1,DEMCOMELCB02,COMELCB02,1,2026,1
REGION1,DEMCOMRPP,COMRPP,1,2021,1
REGION1,DEMCOMRPP,COMRPP,1,2022,1
REGION1,DEMCOMRPP,COMRPP,1,2023,1
REGION1,DEMCOMRPP,COMRPP,1,2024,1
REGION1,DEMCOMRPP,COMRPP,1,2025,1
REGION1,DEMCOMRPP,COMRPP,1,2026,1
REGION1,DEMCOMHDG,COMHDG,1,2021,1
REGION1,DEMCOMHDG,COMHDG,1,2022,1
REGION1,DEMCOMHDG,COMHDG,1,2023,1
REGION1,DEMCOMHDG,COMHDG,1,2024,1
REGION1,DEMCOMHDG,COMHDG,1,2025,1
REGION1,DEMCOMHDG,COMHDG,1,2026,1
REGION1,DEMTRAGSL,TRAGSL,1,2021,1
REGION1,DEMTRAGSL,TRAGSL,1,2022,1
REGION1,DEMTRAGSL,TRAGSL,1,2023,1
REGION1,DEMTRAGSL,TRAGSL,1,2024,1
REGION1,DEMTRAGSL,TRAGSL,1,2025,1
REGION1,DEMTRAGSL,TRAGSL,1,2026,1
REGION1,DEMTRADSL,TRADSL,1,2021,1
REGION1,DEMTRADSL,TRADSL,1,2022,1
REGION1,DEMTRADSL,TRADSL,1,2023,1
REGION1,DEMTRADSL,TRADSL,1,2024,1
REGION1,DEMTRADSL,TRADSL,1,2025,1
REGION1,DEMTRADSL,TRADSL,1,2026,1
REGION1,DEMTRAHFO,TRAHFO,1,2021,1
REGION1,DEMTRAHFO,TRAHFO,1,2022,1
REGION1,DEMTRAHFO,TRAHFO,1,2023,1
REGION1,DEMTRAHFO,TRAHFO,1,2024,1
REGION1,DEMTRAHFO,TRAHFO,1,2025,1
REGION1,DEMTRAHFO,TRAHFO,1,2026,1
REGION1,DEMTRAJFL,TRAJFL,1,2021,1
REGION1,DEMTRAJFL,TRAJFL,1,2022,1
REGION1,DEMTRAJFL,TRAJFL,1,2023,1
REGION1,DEMTRAJFL,TRAJFL,1,2024,1
REGION1,DEMTRAJFL,TRAJFL,1,2025,1
REGION1,DEMTRAJFL,TRAJFL,1,2026,1
REGION1,DEMTRABIO,TRABIO,1,2021,1
REGION1,DEMTRABIO,TRABIO,1,2022,1
REGION1,DEMTRABIO,TRABIO,1,2023,1
REGION1,DEMTRABIO,TRABIO,1,2024,1
REGION1,DEMTRABIO,TRABIO,1,2025,1
REGION1,DEMTRABIO,TRABIO,1,2026,1
REGION1,DEMTRANGS,TRANGS,1,2021,1
REGION1,DEMTRANGS,TRANGS,1,2022,1
REGION1,DEMTRANGS,TRANGS,1,2023,1
REGION1,DEMTRANGS,TRANGS,1,2024,1
REGION1,DEMTRANGS,TRANGS,1,2025,1
REGION1,DEMTRANGS,TRANGS,1,2026,1
REGION1,DEMTRALPG,TRALPG,1,2021,1
REGION1,DEMTRALPG,TRALPG,1,2022,1
REGION1,DEMTRALPG,TRALPG,1,2023,1
REGION1,DEMTRALPG,TRALPG,1,2024,1
REGION1,DEMTRALPG,TRALPG,1,2025,1
REGION1,DEMTRALPG,TRALPG,1,2026,1
REGION1,DEMTRAELCB02,TRAELCB02,1,2021,1
REGION1,DEMTRAELCB02,TRAELCB02,1,2022,1
REGION1,DEMTRAELCB02,TRAELCB02,1,2023,1
REGION1,DEMTRAELCB02,TRAELCB02,1,2024,1
REGION1,DEMTRAELCB02,TRAELCB02,1,2025,1
REGION1,DEMTRAELCB02,TRAELCB02,1,2026,1
REGION1,DEMTRAHDG,TRAHDG,1,2021,1
REGION1,DEMTRAHDG,TRAHDG,1,2022,1
REGION1,DEMTRAHDG,TRAHDG,1,2023,1
REGION1,DEMTRAHDG,TRAHDG,1,2024,1
REGION1,DEMTRAHDG,TRAHDG,1,2025,1
REGION1,DEMTRAHDG,TRAHDG,1,2026,1
REGION1,DEMPWRBCW,PWRBCW,1,2021,1
REGION1,DEMPWRBCW,PWRBCW,1,2022,1
REGION1,DEMPWRBCW,PWRBCW,1,2023,1
REGION1,DEMPWRBCW,PWRBCW,1,2024,1
REGION1,DEMPWRBCW,PWRBCW,1,2025,1
REGION1,DEMPWRBCW,PWRBCW,1,2026,1
REGION1,PWRBCWB01,ELCB01,1,2021,1
REGION1,PWRBCWB01,ELCB01,1,2022,1
REGION1,PWRBCWB01,ELCB01,1,2023,1
REGION1,PWRBCWB01,ELCB01,1,2024,1
REGION1,PWRBCWB01,ELCB01,1,2025,1
REGION1,PWRBCWB01,ELCB01,1,2026,1
REGION1,DEMPWRSURBC1,PWRWATBC1,1,2021,1
REGION1,DEMPWRSURBC1,PWRWATBC1,1,2022,1
REGION1,DEMPWRSURBC1,PWRWATBC1,1,2023,1
REGION1,DEMPWRSURBC1,PWRWATBC1,1,2024,1
REGION1,DEMPWRSURBC1,PWRWATBC1,1,2025,1
REGION1,DEMPWRSURBC1,PWRWATBC1,1,2026,1
REGION1,PWRBCWB01,WTRSURBC1,1,2021,0.0288
REGION1,PWRBCWB01,WTRSURBC1,1,2022,0.0288
REGION1,PWRBCWB01,WTRSURBC1,1,2023,0.0288
REGION1,PWRBCWB01,WTRSURBC1,1,2024,0.0288
